NDC,RxNorm,Count_10years
38779-2979-1,,1
38779-2979-2,,1
38779-2981-1,,6
38779-2981-2,,6
38779-2982-1,,2
38779-2982-2,,2
38779-2983-1,,1
38779-2983-2,,1
38779-2986-1,,1
38779-2986-2,,1
38779-2989-1,,3
38779-2989-2,,3
38779-2990-4,,5
38779-2990-5,,5
38779-2990-8,,5
38779-2990-9,,5
38779-2999-1,34693,3
38779-3033-0,5514,1
38779-3033-3,5514,1
38779-3033-4,5514,1
38779-3033-5,5514,1
38779-3033-6,5514,1
38779-3035-1,1305638,2
38779-3035-5,1305638,2
38779-3035-7,1305638,2
38779-3035-8,1305638,2
38779-3035-9,1305638,2
38779-3039-1,6142,19
38779-3039-3,6142,19
38779-3039-4,6142,19
38779-3039-5,6142,19
38779-3039-7,6142,19
38779-3039-8,6142,19
38779-3039-9,6142,19
38779-3040-5,9525,2
38779-3040-8,9525,2
38779-3041-3,5933,1
38779-3041-4,5933,1
38779-3041-5,5933,1
38779-3041-8,5933,1
38779-3041-9,5933,1
38779-3048-6,4885,37
38779-3050-8,,6
38779-3064-1,118463,1
38779-3064-3,118463,1
38779-3064-4,118463,1
38779-3064-5,118463,1
38779-3064-8,118463,1
38779-3064-9,118463,1
38779-3068-0,8091,599
38779-3068-3,8091,599
38779-3068-8,8091,599
38779-3068-9,8091,599
38779-3074-1,221147,2046
38779-3074-7,221147,2046
38779-3074-8,221147,2046
38779-3074-9,221147,2046
38779-3076-3,15996,1
38779-3076-4,15996,1
38779-3076-5,15996,1
38779-3076-8,15996,1
38779-3097-0,19831,27
38779-3097-3,19831,27
38779-3097-4,19831,27
38779-3097-5,19831,27
38779-3097-6,19831,27
38779-3098-1,1311524,3
38779-3098-4,1311524,3
38779-3098-5,1311524,3
38779-3098-7,1311524,3
38779-3098-8,1311524,3
38779-3098-9,1311524,3
38779-310-07,,28
38779-3115-2,10689,9
38779-3115-6,10689,9
38779-3152-1,,3
38779-3169-5,8727,220
38779-3169-8,8727,220
38779-3169-9,8727,220
38779-3183-0,7646,41
38779-3183-1,7646,41
38779-3183-3,7646,41
38779-3183-4,7646,41
38779-3183-5,7646,41
38779-3183-6,7646,41
38779-3183-7,7646,41
38779-3183-8,7646,41
38779-3183-9,7646,41
38779-3185-1,4492,2
38779-3185-3,4492,2
38779-3185-4,4492,2
38779-3185-5,4492,2
38779-3185-6,4492,2
38779-3185-9,4492,2
38779-3186-3,9143,7
38779-3186-4,9143,7
38779-3186-5,9143,7
38779-3186-7,9143,7
38779-3186-8,9143,7
38779-3186-9,9143,7
38779-3189-3,11002,1
38779-3189-5,11002,1
38779-3189-7,11002,1
38779-3189-8,11002,1
38779-3189-9,11002,1
38779-3200-3,6711,20
38779-3200-4,6711,20
38779-3200-5,6711,20
38779-3200-6,6711,20
38779-3200-8,6711,20
38779-3200-9,6711,20
38779-3205-3,897018,1
38779-3205-4,897018,1
38779-3205-5,897018,1
38779-3205-8,897018,1
38779-3205-9,897018,1
38779-3207-5,81647,2
38779-3207-8,81647,2
38779-3207-9,81647,2
38779-443-03,5691,1
38779-6979-1,,1
38779-6979-2,,1
38779-6980-1,,1
38779-7054-1,,1
38779-7096-1,,2
38779-7107-2,,2
38779-7107-3,,2
38779-7107-4,,2
38779-7107-5,,2
38779-7108-2,,2
38779-7108-3,,2
38779-7108-4,,2
38779-7108-5,,2
38779-7134-1,,8
38779-7135-1,,37
38779-7136-1,,15
38779-7137-1,,14
38779-7191-1,,37
38779-7206-1,,6
38779-7219-1,,2
38779-7219-2,,2
38779-7340-2,,4
38779-7378-1,,4
38779-7379-1,,6
38779-7441-1,,1
38779-7441-2,,1
38779-7443-1,,1
38779-7443-2,,1
38779-7476-1,,43
38779-7491-1,,9
38779-7544-1,,1
38779-7794-1,,97
38779-7813-1,,2
38779-7813-2,,2
38779-7813-3,,2
38779-7813-4,,2
38779-7814-1,,2
38779-7814-2,,2
38779-7814-3,,2
38779-7814-4,,2
38779-7815-1,,2
38779-7815-2,,2
38779-7815-3,,2
38779-7815-4,,2
38779-7816-1,,2
38779-7816-2,,2
38779-7816-3,,2
38779-7816-4,,2
38779-7817-1,,2
38779-7817-2,,2
38779-7817-3,,2
38779-7817-4,,2
38779-7818-1,,2
38779-7818-2,,2
38779-7818-3,,2
38779-7818-4,,2
38779-7819-1,,2
38779-7819-2,,2
38779-7819-3,,2
38779-7819-4,,2
38779-7820-1,,2
38779-7820-2,,2
38779-7820-3,,2
38779-7820-4,,2
38779-7821-1,,2
38779-7821-2,,2
38779-7821-3,,2
38779-7821-4,,2
38779-7822-1,,2
38779-7822-2,,2
38779-7822-3,,2
38779-7822-4,,2
38779-7823-1,,2
38779-7823-2,,2
38779-7823-3,,2
38779-7823-4,,2
38779-7824-1,,2
38779-7824-2,,2
38779-7824-3,,2
38779-7824-4,,2
38779-7825-1,,2
38779-7825-2,,2
38779-7825-3,,2
38779-7825-4,,2
38779-7826-1,,2
38779-7826-2,,2
38779-7826-3,,2
38779-7826-4,,2
38779-7827-1,,2
38779-7827-2,,2
38779-7827-3,,2
38779-7827-4,,2
38779-7828-1,,2
38779-7828-2,,2
38779-7828-3,,2
38779-7828-4,,2
38779-7829-1,,2
38779-7829-2,,2
38779-7829-3,,2
38779-7829-4,,2
38779-7830-1,,2
38779-7830-2,,2
38779-7830-3,,2
38779-7830-4,,2
38779-7831-1,,2
38779-7831-2,,2
38779-7831-3,,2
38779-7831-4,,2
38779-7832-1,,2
38779-7832-2,,2
38779-7832-3,,2
38779-7832-4,,2
38779-7833-1,,2
38779-7833-2,,2
38779-7833-3,,2
38779-7833-4,,2
38779-7834-1,,2
38779-7834-2,,2
38779-7834-3,,2
38779-7834-4,,2
38779-7835-1,,2
38779-7835-2,,2
38779-7835-3,,2
38779-7835-4,,2
38779-7836-1,,2
38779-7836-2,,2
38779-7836-3,,2
38779-7836-4,,2
38779-7876-1,,2
38779-7931-1,,1
38779-8209-1,,4
38779-8235-2,,54
38779-8696-1,,1
38779-8795-3,,1
38779-8814-1,,4
38779-9662-1,,1
38779-9662-2,,1
38779-9662-3,,1
38779-9701-1,,6
38779-9701-2,,6
38779-9701-3,,6
38779-9710-4,,1
38779-9758-1,,1
38779-9798-1,,1
38779-9798-2,,1
38779-9798-5,,1
38779-9841-1,,1
38779-9841-2,,1
38779-9984-1,,7
39278-11010,1952,2
39278-20030,1952,1
39278-22010,1952,12
39278-31508,1952,8
39278-31510,1952,8
39278-31541,1952,8
39278-32200,1952,2
39278-32300,1952,3
39278-44020,1952,7
39328-024-15,6387,1468
39328-024-30,6387,1468
39328-024-55,6387,1468
39328-024-56,6387,40
39328-025-15,6387,228
39328-025-30,6387,228
39328-044-16,3013,4267
39328-047-15,1225,3578
39328-048-16,1225,121
39328-057-50,24947,66
39328-062-50,313049,13
39328-063-25,313048,1620
39328-064-12,644133,21
39328-067-12,644133,21
39328-068-08,644133,21
39328-106-10,,3275
39328-106-50,,3275
39328-107-10,34322,16
39328-541-08,6218,3012
39328-541-16,6218,3012
39328-541-32,6218,3012
39328-551-12,6719,81
39423-00050,6205,153
39423-00300,6205,153
39423-11048,6205,148
39423-22048,6205,148
39423-44048,6205,153
39423-55048,6205,51
39423-66048,6205,153
39423-88048,6205,18
39713-54526,,50
39822-0123-1,8339,64
39822-0123-2,8339,64
39822-0125-3,8339,825
39822-0125-4,8339,825
39822-0127-5,,975
39822-0127-5,8339,391
39822-0127-6,,975
39822-0127-6,8339,391
39822-0139-7,8339,14
39822-0151-1,10814,41
39822-0166-5,388,28
39822-0166-7,388,28
39822-0170-1,388,28
39822-0170-2,388,28
39822-0171-6,388,28
39822-0171-7,388,28
39822-0190-1,167,2553
39822-0190-7,167,2553
39822-0191-9,167,2553
39822-0278-5,1291,1946
39822-0310-5,7299,3866
39822-0310-7,7299,3866
39822-0350-1,6398,1
39822-0350-2,6398,1
39822-0353-5,6398,1
39822-0353-6,6398,1
39822-0409-1,7276,437
39822-0409-6,7276,437
39822-0412-1,7276,437
39822-0412-6,7276,437
39822-0500-1,5470,61233
39822-0500-4,5470,61233
39822-0615-1,2709,51
39822-0615-2,2709,51
39822-0617-1,2709,51
39822-0617-2,2709,51
39822-0706-2,10109,17
39822-0710-1,15226,24
39822-1000-1,10691,3267
39822-1001-6,10691,3267
39822-1001-7,10691,3267
39822-1030-1,5640,93
39822-1030-2,5640,93
39822-1055-5,732,38
39822-1077-1,121243,32
39822-1201-2,7299,18
39822-1201-5,7299,18
39822-1220-1,7299,18
39822-2000-1,2599,8998
39822-2010-1,2599,33
39822-2100-1,3100,357
39822-2100-2,3100,357
39822-2120-1,72962,22
39822-2180-1,72962,3
39822-3015-1,7597,29866
39822-3015-3,7597,29866
39822-3015-6,7597,29866
39822-4000-1,114477,436
39822-4025-1,6585,8500
39822-4025-2,6585,8500
39822-4050-2,8183,2732
39822-4050-3,8183,2732
39822-4050-5,8183,2732
39822-4050-6,8183,2732
39822-4200-1,32521,212323
39822-4200-2,32521,212323
39822-4200-5,32521,662
39822-4200-6,32521,662
39822-5500-2,8745,916
39822-5500-3,8745,916
39822-5500-5,8745,51
39822-5500-6,8745,51
39822-5525-2,8745,916
39822-5525-3,8745,916
39822-5550-5,8745,51
39822-5550-6,8745,51
39822-9900-1,317201,46
39822-9900-2,317201,46
40042-015-05,2551,21078
40042-015-10,2551,21078
40042-015-52,2551,21078
40042-047-10,7396,54
40076-002-50,6932,13
40076-021-00,1514,108
40076-021-50,1514,108
40076-031-00,2590,240
40076-031-50,2590,240
40076-051-00,6135,7
40076-051-50,6135,7
40076-061-00,2582,26
40076-061-50,2582,26
40076-101-00,2590,51
40076-101-50,2590,51
40076-115-60,33199,3454
40076-230-60,33199,3454
40076-318-12,8745,18
40076-319-12,8745,147
40076-320-12,8745,6
40076-415-30,4053,61
40076-415-60,4053,61
40076-511-45,3638,9
40076-624-05,59839,1173
40076-715-30,3638,47
40076-715-45,3638,47
40076-945-55,281,113
40076-949-55,281,216
40076-953-96,281,30
40076-991-55,281,183
40079-104-01,,1
40079-104-04,,1
40079-112-81,,1
40079-160-01,,1
40085-028-16,10759,17253
40085-028-80,10759,17253
40085-029-15,10759,177983
40085-029-16,10759,177983
40085-029-30,10759,177983
40085-029-80,10759,177983
40085-201-60,31476,164
40085-201-90,31476,164
40085-203-45,31476,133
40085-203-60,31476,133
40085-215-60,33199,20446
40085-218-12,8745,2625
40085-219-12,8745,9894
40085-220-12,8745,46
40085-315-30,4053,1866
40085-315-60,4053,1866
40085-615-60,33199,20446
40085-716-45,3638,110
40085-842-96,281,2248
40085-888-00,2590,1485
40085-888-50,2590,1485
40085-893-00,2590,211
40085-893-50,2590,211
40093-10067,,17
40093-10073,,4
40093-10074,,7
40093-10075,4419,52219
40093-10077,4419,17033
40093-10083,6205,44
40093-10084,197,48
40093-10090,,1
40093-10099,,1
40093-10100,,2
40093-10108,,3
40093-10111,11248,629
40093-10113,245856,267
40093-10116,2418,11
40093-10118,1588,41
40093-10122,,3
40093-10128,42954,1699
40093-10130,850412,64
40093-10134,24947,24541
40093-10135,89903,923
40093-10137,11248,1594
40093-10141,258326,447
40093-10142,199674,30
40093-10146,4845,626
40093-10148,4511,8780
40093-10149,2669,4
40093-10150,2418,73
40093-10153,58300,467
40093-10159,,343
40093-10164,6711,293
40093-10165,6205,1017
40093-10166,6205,6
40093-10167,1588,1
40093-10168,1151,2
40093-10169,265647,62
40093-10170,4419,17033
40093-10171,880350,2362
40093-10175,,125
40093-10177,,1
40093-10181,,5
40093-10183,,361
40093-10195,24947,1
40093-10196,9641,624
40093-10197,6711,407
40093-10198,,195
40093-10208,,1
40093-10209,6582,868
40093-10211,,315
40093-10212,,1
40093-10219,,26
40093-10223,,1
40093-10225,,3
40093-10226,,11
40093-10228,1588,5761
40093-10230,2418,73
40093-10231,2418,11
40093-10232,21406,462
40093-10242,6711,407
40093-10258,6582,252
40093-10266,6404,2280
40093-10287,9641,624
40093-10304,,107
40093-10305,6711,293
40093-10314,,2
40093-10326,4419,1061
40093-10370,,13
40093-10374,1588,5761
40093-10380,1008032,4
40093-10390,24947,24541
40093-10454,,1
40093-10457,,1
40093-10459,,2
40093-10532,2418,5
40093-10570,94,309
40093-10579,6582,1409
40093-10587,4845,333
40093-10588,10454,812
40093-10589,9346,815
40093-10594,1897,16
40093-10595,1897,16
40093-10596,1897,5
40093-10598,,223
40093-10600,11248,2101
40093-10602,11248,1594
40093-10603,1151,14305
40093-10604,1151,44181
40093-10609,6711,13598
40093-10615,,3
40093-10616,,31
40093-10618,2418,6
40093-10627,6536,373
40093-10646,11248,2101
40093-10656,1897,118
40093-10660,10454,812
40093-10661,9346,815
40093-14002,2418,11
40337-00155,,1
40337-00156,,1
40337-00500,,1
40337-00560,,4
40337-00561,,1
40337-00565,,4
40565-11184,,41
40565-11243,,1
40565-11452,,202
40565-11527,,45
40565-11565,,1
40565-11566,,3
40565-11570,,8
40565-11576,,8
40565-11577,,8
40565-11586,,1
40565-11587,,1
40565-11655,,1
40565-11657,,1
40565-11673,,42
40565-11789,,42
40565-11827,,4
40565-11829,,3
40565-11831,,1
40565-11856,,1
40565-11930,,2
40565-11931,,2
40565-11932,,2
40565-11933,,2
40565-11934,,2
40565-11936,,2
40565-11938,,2
40565-11940,,1
40565-11951,,1
40565-11959,,22
40565-11960,,1
40565-12059,,2
40565-12061,,2
40565-12137,,1
40565-12145,,6
40565-12149,,1
40565-12205,,1
40565-12230,,1
40565-12232,,1
40565-12249,20012,83
40565-12251,20012,5
40565-12253,20012,5
40565-12256,20012,83
40565-12448,,5
40565-12450,,4
40565-12498,,7
40985-21002,1151,18
40985-21024,1151,19
40985-21062,6536,5
40985-21104,11248,2011
40985-21151,10454,812
40985-21154,9641,739
40985-21168,2669,4
40985-21177,3143,265
40985-21196,42954,1699
40985-21228,236344,4
40985-21240,6711,94743
40985-21245,11256,126
40985-21249,236809,256
40985-21300,198658,12
40985-21302,11256,7
40985-21324,125933,911
40985-21338,283579,9
40985-21339,6205,174
40985-21341,21406,45
40985-21345,125929,29
40985-21364,7393,1811
40985-21368,59308,215
40985-21377,,162
40985-21377,4511,7297
40985-21378,253172,47
40985-21387,89903,923
40985-21393,198971,52
40985-21394,4845,13
40985-21434,,53
40985-21464,11246,2521
40985-21472,2473,140
40985-21495,4419,52219
40985-21501,2418,292
40985-21592,283567,49
40985-21674,618060,45
40985-21690,2473,140
40985-21691,228041,380
40985-21716,1094143,54
40985-21781,317825,129
40985-21800,21406,295
40985-22215,4845,13
40985-22251,,3
40985-22257,1897,3326
40985-22263,,92
40985-22282,,62
40985-22291,2473,1076
40985-22294,1151,33
40985-22301,2473,1076
40985-22306,,1
40985-22309,11248,2101
40985-22314,2473,1076
40985-22316,1151,34
40985-22318,47613,452
40985-22331,,28
40985-22332,2418,48
40985-22337,21406,1025
40985-22338,1151,34
40985-22343,11256,126
40985-22368,,221
40985-22380,,71
40985-22383,1151,16
40985-22390,,156
40985-22400,29008,8
40985-22407,6404,2280
40985-22408,11359,973
40985-22433,1151,20
40985-22476,2473,323
40985-22481,2473,323
40985-22550,7393,20
40985-22556,,524
40985-22563,4511,8780
40985-22564,4845,8
40985-22623,,4
40985-22639,2473,17
40985-22653,1897,306
40985-22658,,26
40985-22659,,2
40985-22661,2418,50
40985-22663,4716,65
40985-22668,220870,363
40985-22670,24947,24541
40985-22687,21406,48
40985-22690,24942,515
40985-22702,,71
40985-22703,,156
40985-22713,6582,1409
40985-22720,2473,418
40985-22721,6711,94743
40985-22722,1897,5535
40985-22725,1897,1274
40985-22727,1897,1274
40985-22729,1897,5535
40985-22731,4419,52219
40985-22777,605061,9
40985-22787,2473,1076
40985-22848,283829,205
40985-22849,7393,131
40985-22871,6404,2280
40985-22872,4419,52219
40985-22873,4419,3125
40985-22874,,76
40985-22875,,76
40985-22881,1588,108
40985-22884,11256,22
40985-22885,69627,11
40985-22891,1605775,82
40985-22908,232540,685
40985-22921,41967,22169
40985-22928,6205,637
40985-23023,2473,140
40985-25073,4018,762
40985-25222,11256,14693
40985-27024,8928,29
40985-27062,2418,219
40985-27069,285245,5458
40985-27070,1111681,1428
40985-27072,6582,6
40985-27073,11359,997
40985-27086,1091,21
40985-27087,6711,377
40985-27089,5833,24
40985-27111,2418,83
40985-27112,11248,375
40985-27113,11248,690
40985-27116,1588,79
40985-27139,2418,136
40985-27175,,187
40985-27285,,27
40985-27287,,49
40985-27288,2418,91
40985-27289,,1738
40985-27290,,1738
40985-27292,2418,140
40985-27304,,3
40985-27305,,53
40985-27308,,164
40985-27309,,52
40985-27310,,1002
40985-27343,,77
40985-27348,484348,763
40985-27354,,47
40985-27367,880350,254
40985-27369,,25
40985-27380,2418,373
40985-27383,59308,10
40985-27384,73,194
40985-27413,21406,3017
40985-27415,2418,1158
40985-27416,2418,367
40985-27434,21406,3017
40985-27435,21406,1270
40985-27452,,97
40985-27474,7393,608
40985-27491,2418,38
40985-27492,2418,26
40985-27493,2418,26
40985-27494,2418,26
40985-27495,2418,26
40985-27498,,86
40985-27503,6711,127
40985-27504,2418,758
40985-27505,6205,130
40985-27519,1897,5
40985-27520,1897,5
40985-27522,1897,5
40985-27531,1897,118
40985-27532,1897,3326
40985-27533,1897,145
40985-27552,,156
40985-27622,2418,2
40985-27709,2418,5
40985-27757,1588,1249
40985-27770,6711,41
40985-27848,,17
40985-27851,2266754,158
40986-01003,28889,2048
40986-01004,28889,2048
40986-01005,28889,2048
40986-01006,,18
40986-01007,,18
40986-01008,,33
40986-01009,,1
40986-01010,,36
40986-01011,37935,16
40986-01012,37935,6
40986-01013,8514,1
40986-01014,,2
40986-01016,797541,1
40986-01017,797541,1
40986-01020,797541,1
40986-01021,5499,2254
40986-01022,5499,2254
40986-01023,6972,47
40986-01024,89821,3
40986-01025,52356,575
40986-01026,52356,575
40986-01027,,16
40986-01028,,16
40986-01030,,16
40986-01031,,16
40986-01033,,16
40986-01034,,16
40986-01036,,16
40986-01037,,16
40986-01039,,147
40986-01040,,147
40986-01045,,147
40986-01046,,147
40986-01048,,1
40986-01049,,1
40986-01050,,1
40986-01051,,1
40986-01052,,1
40986-01053,,1
40986-01054,5640,57965
40986-01055,5640,57965
40986-01056,5640,57965
40986-01057,5640,57965
40986-01058,5640,57965
40986-01059,5640,57965
40986-01060,5640,57965
40986-01061,5640,57965
40986-01062,5640,57965
40986-01063,5640,57965
40986-01064,5640,57965
40986-01065,5640,57965
40986-01066,7258,10940
40986-01067,7258,10940
40986-01068,7258,10940
40986-01069,7258,10940
40986-01070,3498,7
40986-01072,1886,5
40986-01074,5640,26336
40986-01075,5640,26336
40986-01076,5640,26336
40986-01077,9143,103
40986-01078,9143,103
40986-01079,9143,103
40986-01081,4278,89
40986-01082,4278,89
40986-01083,161,1
40986-01084,161,1
40986-01089,161,35
40986-01091,161,35
40986-01093,6750,1
40986-01095,6750,21
40986-01096,1151,17
40986-01098,6750,1
40986-01101,6750,4
40986-01103,6750,1
40986-01105,1399,38
40986-01108,235496,975
40986-01109,235496,975
40986-01119,,14
40986-01120,,14
40986-01122,,14
40986-01124,6932,12
40986-01125,6932,89
40986-01127,2623,399
40986-01128,1191,73271
40986-01129,1191,73271
40986-01130,1191,73271
40986-01132,702343,1
40986-01134,218009,1
40986-01136,38866,6
40986-01149,,8
40986-01150,,14
40986-01154,,37
40986-01155,,23
40986-01156,,132
40986-01157,,2
40986-01159,,2
40986-01161,,6
40986-01162,,2
40986-01163,,6
40986-01164,,22
40986-01167,,198
40986-01168,,198
40986-01169,,198
40986-01170,,20
40986-01171,,20
40986-01172,,20
40986-01173,,10
40986-01176,,909
40986-01177,,8
40986-01178,,8
40986-01179,,8
40986-01181,,1
40986-01182,,1
40986-01183,,1
40986-01184,,1
40986-01185,,1
40986-01195,,3
40986-01196,,3
40986-01197,,3
40986-01198,,3
40986-01199,,3
40986-01200,,3
40986-01201,,3
40986-01227,161,35
40986-01228,161,35
40986-01229,161,35
40986-01230,161,35
40986-01231,161,35
40986-01232,161,35
40986-01233,161,33
40986-01235,161,1
40986-01236,1191,31852
40986-01237,1191,31852
40986-01239,1191,3150
40986-01240,161,2
40986-01241,2400,27
40986-01242,2400,27
40986-01272,11423,12
40986-01273,,34
40986-01274,6932,16
40986-01275,1291,63
40986-01277,11423,2729
40986-01279,10637,402
40986-01280,6585,7
40986-01281,6585,7
40986-01282,6468,164
40986-01283,6468,164
40986-01286,1596,5
40986-01287,1596,5
40986-01288,1596,6796
40986-01289,1596,121
40986-01290,797541,322
40986-01295,106212,454
40986-01296,33290,7
40986-01297,1088318,1
40986-01298,448,3
40986-01300,,20
40986-01301,1700,95
40986-01302,4910,5
40986-01304,2129,104
40986-01305,2669,57
40986-01306,1191,232
40986-01309,82003,5459
40986-01310,82003,5459
40986-01311,36387,7601
40986-01312,36387,1966
40986-01316,1897,215
40986-01317,1897,215
40986-01318,1897,59
40986-01319,1897,59
40986-01320,1897,59
40986-01321,1897,27
40986-01322,1897,27
40986-01324,1897,215
40986-01325,1897,59
40986-01327,283597,12
40986-01329,9796,155
40986-01331,1596,220
40986-01332,8163,3
40986-01333,8163,4
40986-01335,,1
40986-01337,,1
40986-01338,6387,3
40986-01339,6750,5
40986-01340,,3
40986-01341,6750,216
40986-01342,6750,4
40986-01346,,1
40986-01365,161,9
40986-01368,161,39
40986-01371,612,81
40986-01372,612,6
40986-01373,612,81
40986-01375,612,15
40986-01376,97016,841
40986-01377,33290,2
40986-01378,33290,2
40986-01380,5032,32
40986-01381,5032,32
40986-01382,3289,164
40986-01383,3289,164
40986-01384,3289,174
40986-01385,3289,26
40986-01387,3289,23
40986-01396,3498,27
40986-01397,3498,27
40986-01405,1291,37260
40986-01406,5492,4
40986-01407,1291,780
40986-01408,6581,4616
40986-01409,6581,4616
40986-01410,6972,2
40986-01412,,2
40986-01415,,1
40986-01416,,4
40986-01417,,5
40986-01418,,8
40986-01419,,21
40986-01420,,6
40986-01423,9525,1
40986-01428,,2
40986-01429,,7
40986-01431,,40
40986-01433,,2
40986-01434,10637,23
40986-01435,10637,2
40986-01437,9525,2
40986-01438,9525,6
40986-01439,9525,3
40986-01444,3444,10
40986-01445,2541,2
40986-01446,2541,2
40986-01447,2541,2
40986-01448,9796,79
40986-01449,9796,2
40986-01450,8896,15
40986-01451,8896,15
40986-01452,8896,15
40986-01456,3498,8
40986-01457,3498,8
40986-01458,3498,16
40986-01461,36387,12
40986-01462,36387,12
40986-01463,36387,4
40986-01464,36387,12
40986-01465,36387,12
40986-01466,3498,9
40986-01474,3289,6
40986-01476,,2
40986-01477,,4
40986-01478,,4
40986-01480,,4
40986-01481,,4
40986-01482,9863,17684
40986-01483,9863,17684
40986-01485,3498,18
40986-01486,3498,18
40986-01487,3498,18
40986-01492,,8
40986-01501,19478,12
40986-01502,19478,12
40986-01503,19478,2
40986-01504,19478,2
40986-01505,19478,10
40986-01506,4570,3
40986-01508,9796,85
40986-01511,9796,5
40986-01512,41397,3
40986-01514,41397,5
40986-01516,7812,339
40986-01517,7812,3
40986-01518,7812,1
40986-01519,7812,1
40986-01523,47686,1
40986-01524,47686,13
40986-01527,8928,1
40986-01528,8928,3
40986-01529,8928,8
40986-01530,8928,8
40986-01531,8928,8
40986-01532,8928,6
40986-01533,8928,6
40986-01534,8928,6
40986-01535,6873,5
40986-01536,6873,19
40986-01537,6873,96
40986-01538,20063,264
40986-01539,20063,264
40986-01544,,5
40986-01545,,1
40986-01546,,1
40986-01547,,1
40986-01548,,1
40986-01549,,1
40986-01550,,1
40986-01551,,1
40986-01572,161,1
40986-01573,8120,44
40986-01574,8896,28
40986-01578,4910,134
40986-01579,4910,29
40986-01580,4910,29
40986-01581,4910,29
40986-01598,,11
40986-01599,,43
40986-01602,,2
40986-01610,,4
40986-01611,,1
40986-01612,,2
40986-01613,,4
40986-01615,,2
40986-01616,,1
40986-01626,,38
40986-01627,,38
40986-01628,,61
40986-01629,,18
40986-01630,,4
40986-01632,,5
40986-01633,,5
40986-01634,,27
40986-01635,,16
40986-01636,,15
40986-01637,,23
40986-01639,,9
40986-01640,,32
40986-01644,,7
40986-01645,,3
40986-01646,,4
40986-01647,,2
40986-01648,,1
40986-01650,,3
40986-01652,,2
40986-01653,,25
40986-01654,,20
40986-01656,1952,3
40986-01657,,6
40986-01668,,51
40986-01669,,51
40986-01670,,194
40986-01671,4850,36
40986-01672,4850,36
40986-01673,4850,36
40986-01674,4850,36
40986-01676,,16
40986-01677,,453
40986-01678,,453
40986-01679,28889,2048
40986-01703,8928,698
40986-01706,,5
40986-01708,8896,160
40986-01709,8896,160
40986-01711,,14
40986-01712,,11
40986-01713,,11
40986-01714,,2
40986-01716,,11
40986-01718,,2
40986-01720,,11
40986-01722,,2
40986-01730,1897,80
40986-01741,5640,9
40986-01748,36387,5462
40986-01749,36676,32
40986-01751,36676,32
40986-01754,82003,5459
40986-01755,,16
40986-01756,,16
40986-01757,2418,542
40986-01758,11246,2521
40986-01759,19143,277
40986-01760,283829,205
40986-01761,,31
40986-01762,,86
40986-01763,,126
40986-01764,10454,4769
40986-01765,11248,20788
40986-01766,11248,26422
40986-01767,7405,241
40986-01768,42954,7919
40986-01769,42954,2614
40986-01770,1151,29
40986-01771,1151,119
40986-01772,1151,22511
40986-01773,1151,44181
40986-01774,1151,44181
40986-01775,1151,44181
40986-01776,1151,151
40986-01777,1151,4363
40986-01778,1151,522
40986-01779,1491617,488
40986-01780,,1406
40986-01781,1897,1727
40986-01782,1897,638
40986-01783,1897,3730
40986-01784,1897,3183
40986-01785,1897,3183
40986-01786,,67
40986-01787,2418,361
40986-01788,,5
40986-01789,,12
40986-01790,,6
40986-01791,,15
40986-01792,59308,215
40986-01793,2669,19
40986-01794,21406,2010
40986-01795,21406,106
40986-01796,21406,189
40986-01797,605061,90
40986-01798,125933,390
40986-01799,2418,50
40986-01800,11256,2864
40986-01801,11256,2864
40986-01802,11256,1342
40986-01803,11256,14693
40986-01804,11256,14693
40986-01805,11256,6
40986-01806,11256,14693
40986-01807,228041,342
40986-01808,,60
40986-01809,,51
40986-01810,24942,296
40986-01811,6404,2280
40986-01812,,162
40986-01812,4511,7297
40986-01813,4511,8780
40986-01814,265647,126
40986-01815,265647,223
40986-01816,4716,64
40986-01817,1673560,174
40986-01818,1307726,25
40986-01819,2473,492
40986-01820,2473,492
40986-01821,2473,865
40986-01822,2473,865
40986-01823,2473,323
40986-01824,2473,323
40986-01825,4845,3495
40986-01826,,1037
40986-01827,24947,599
40986-01828,8214,86
40986-01829,6536,55
40986-01830,6574,3060
40986-01831,6711,12
40986-01832,,65
40986-01833,23247,155
40986-01834,,956
40986-01835,,956
40986-01836,,72
40986-01837,,117
40986-01838,,9
40986-01839,,9476
40986-01840,,9476
40986-01841,,1719
40986-01842,,309
40986-01843,,202
40986-01844,,202
40986-01845,4419,52219
40986-01846,8588,4764
40986-01847,,322
40986-01848,236344,300
40986-01849,9641,624
40986-01850,24947,134
40986-01851,,79
40986-01852,,4
40986-01853,,151
40986-01854,,39
40986-01855,11416,3226
40986-01856,813863,42
40986-01858,161,7
40986-01859,1596,121
40986-01860,10637,1
40986-01871,,5
40986-01878,1191,3150
40986-01879,,34
40986-01880,,24
40986-01882,,6
40986-01883,,4
40986-01885,,20
40986-01886,,10
40986-01887,,2
40986-01888,,2
40986-01890,,18
40986-01899,28889,33
40986-01901,692603,515
40986-01902,,9476
40986-01903,,202
40986-01904,,5
40986-01905,161,3
40986-01906,161,3
40986-01907,161,3
40986-01913,2473,492
40986-01918,7812,1
40986-01919,9796,23
40986-01920,9796,23
40986-01922,1399,1
40986-01923,20063,411
40986-01936,5492,1
40986-01938,19478,12
40986-01939,19478,12
40986-01940,,3
40986-01945,161,261
40986-01946,161,1
40986-01947,10046,1
40986-01951,,43
