NDC,RxNorm,Count_10years
0005-1971-01,798220,538
0005-1971-02,798220,538
0005-1971-05,798220,538
0005-2500-02,20063,1801
0005-2500-23,20063,1801
0005-2500-33,20063,1801
0005-4177-19,,12441
0005-4177-58,,12441
0005-4177-90,,12441
0005-4179-90,,3314
0005-4237-20,,1
0005-4239-16,,4549
0005-4329-20,,308
0005-4329-60,,308
0005-4343-62,,5154
0005-4344-62,,5154
0005-4365-56,,83
0005-4367-60,,37
0005-4367-95,,37
0005-4398-23,167,1
0005-4430-13,,85
0005-4430-61,,85
0005-4451-30,,3237
0005-4451-60,,3237
0005-4451-70,,3237
0005-4451-71,,3237
0005-4451-72,,3237
0005-4451-74,,3237
0005-4451-76,,3237
0005-4452-60,,70
0005-4452-70,,70
0005-4454-60,,70
0005-4454-70,,70
0005-4455-60,,70
0005-4455-70,,70
0005-4461-19,,1268
0005-4463-30,,12441
0005-4463-67,,12441
0005-4463-81,,12441
0005-4463-91,,12441
0005-4469-23,167,5
0005-4470-13,,53
0005-4470-60,,53
0005-4498-13,,89
0005-4498-60,,89
0005-4528-35,,572
0005-4528-61,,572
0005-4755-31,,164
0005-4755-50,,951
0005-4755-57,,951
0005-4755-71,,951
0005-4756-30,,2329
0005-4756-50,,2214
0005-4756-52,,2329
0005-4756-64,,2214
0005-4756-70,,2214
0005-4756-71,,2214
0005-4757-31,,255
0005-4757-56,,255
0005-4757-70,,255
0005-4758-30,,2023
0005-4758-50,,2023
0005-4758-65,,2023
0005-4758-70,,2023
0005-4760-19,,4
0005-4860-70,,203
0005-4860-90,,203
0005-4861-70,,203
0005-4861-90,,203
0005-4862-70,,203
0005-4862-90,,203
0005-4868-90,,5
0005-4900-60,,34
0005-4900-92,,34
0005-4901-92,,16
0005-4903-60,,34
0005-4903-92,,34
0005-4905-60,,60
0005-4905-92,,60
0005-4906-92,,16
0005-4910-24,,2
0005-5509-07,1897,6
0005-5509-19,1897,6
0005-5509-24,1897,6
0005-5509-25,1897,6
0005-5510-20,1897,1181
0005-5512-10,,36
0005-5517-50,2418,66
0005-5517-95,2418,66
0005-5556-19,,591
0005-5556-23,,591
0005-5556-90,,591
0005-5567-10,,553
0005-5567-11,,553
0005-5567-19,,553
0005-5567-20,,553
0005-5567-64,,553
0005-5567-65,,553
0005-5568-19,1897,48
0005-5569-19,1897,48
0005-7600-50,,8
0005-7600-90,,8
0005-7602-14,,17
0005-7602-28,,17
0005-7604-50,1245038,22
0005-7604-70,1245038,22
0005-7606-70,1897,6
0005-7614-50,,10
0006-0005-10,1547099,14
0006-0005-30,1547099,14
0006-0015-28,29046,115
0006-0015-31,29046,115
0006-0015-58,29046,115
0006-0019-54,29046,1132
0006-0021-68,1424,12
0006-0025-68,5781,59
0006-0025-82,5781,59
0006-0031-44,46041,15480
0006-0032-20,6069,260
0006-0033-10,1547099,106
0006-0033-30,1547099,106
0006-0042-68,5487,225
0006-0042-82,5487,225
0006-0050-68,5781,83
0006-0062-68,3013,31
0006-0071-31,25025,987
0006-0071-54,25025,987
0006-0072-31,25025,7808
0006-0072-58,25025,7808
0006-0078-61,6809,177
0006-0078-62,6809,177
0006-0078-82,6809,177
0006-0080-28,6809,890
0006-0080-61,6809,890
0006-0080-62,6809,890
0006-0080-82,6809,890
0006-0081-14,6809,520
0006-0081-31,6809,520
0006-0081-54,6809,520
0006-0081-82,6809,520
0006-0106-54,29046,2053
0006-0112-01,593411,11443
0006-0112-28,593411,11443
0006-0112-31,593411,11443
0006-0112-54,593411,11443
0006-0207-54,29046,2131
0006-0221-01,593411,2840
0006-0221-28,593411,2840
0006-0221-31,593411,2840
0006-0221-54,593411,2840
0006-0227-61,719872,441
0006-0266-01,88014,706
0006-0266-18,88014,706
0006-0267-01,88014,5184
0006-0267-18,88014,5184
0006-0270-44,2418,71
0006-0277-01,593411,38135
0006-0277-02,593411,38135
0006-0277-28,593411,38135
0006-0277-31,593411,38135
0006-0277-33,593411,38135
