rxcui	ndcs
201905	['40076094955', '55289069112', '55289069115', '55289069125']
1423662	[]
1493276	['68712004901', '68712004902', '71403004901', '71403004902']
998422	[]
998426	['00187510401', '00187510402']
313812	[]
213721	[]
141859	['00093363020', '45802004475']
825321	['00187099445']
197313	['00093894701', '00093894705', '00440603301', '00440603305', '00440603310', '00440603320', '00440603381', '00440703310', '00440703320', '00440703381', '10544002640', '10544010340', '10544020435', '10544020440', '10544020450', '12634069701', '12634069709', '12634069754', '12634069755', '12634069761', '12634069765', '12634069771', '12634069779', '12634069790', '12634069791', '13411018301', '13411018303', '13411018306', '13411018309', '13411018310', '23155022801', '23155022805', '31722077801', '31722077805', '33261022716', '33261022725', '33261022730', '33261022735', '33261022740', '33261022750', '33261022760', '33261022790', '33358001125', '42291010950', '42291010990', '43063058910', '43063058930', '43063058935', '43063058950', '43353093318', '49999023135', '49999023140', '50090162400', '50090162402', '50090162403', '50090379500', '50090379502', '50090379503', '50268006211', '50268006215', '50436079201', '51079044901', '51079044920', '51407014601', '51407014605', '51655009951', '52959067830', '52959067840', '52959067850', '53002027000', '53002027001', '53002027002', '53002027003', '53002027004', '53002027005', '53002027006', '53217031325', '53217031330', '53217031335', '53217031340', '53217031350', '53808089401', '54348062410', '55289062910', '55289062920', '55289062930', '55289062935', '55289062940', '55289062950', '55700066335', '55700078635', '55700083535', '58864019125', '58864019135', '60429031001', '60429031005', '60505530701', '60505530703', '60505530705', '61442011301', '61442011305', '61919000335', '61919053030', '61919053035', '63187019230', '63187019235', '63187019260', '63187019290', '63187036630', '63187036635', '63187036660', '63187036690', '63187057406', '63187057420', '63187057425', '63187057430', '63187057435', '63187057450', '63187057460', '63187057490', '63304050501', '63304050528', '63304050550', '63629100601', '63629100602', '63629100603', '63629100604', '63629100605', '63629167801', '63629167802', '63629167803', '63629167804', '63629167805', '63629167806', '63629167807', '63629167808', '63629167809', '63629634901', '63629634902', '63629634903', '63629763901', '63629763902', '63629763903', '63629763904', '63629763905', '63629797501', '63629797502', '65841080301', '65841080305', '65841080306', '65841080310', '65841080316', '65841080330', '66267039915', '66267039921', '66267039925', '66267039930', '66267039935', '66267039950', '67253010210', '67253010250', '67296103403', '67296103405', '67296103406', '67296119301', '67296119305', '67296121905', '67296121906', '67296121908', '67296130001', '67296130005', '68071322201', '68071322202', '68071322203', '68071322204', '68071322205', '68071322207', '68071434501', '68071434502', '68071434503', '68071434505', '68071434507', '68071479003', '68071510003', '68071512205', '68084010901', '68084010911', '68382079201', '68382079205', '68382079206', '68382079210', '68382079216', '68382079230', '68788737802', '68788737803', '68788737804', '68788737805', '68788737806', '68788737807', '68788737808', '68788743602', '68788743603', '68788743604', '68788743605', '68788743606', '68788743607', '68788743608', '68788757502', '68788757503', '68788757504', '68788757505', '68788757506', '68788757507', '68788757508', '69117001901', '69117001902', '69677010525', '69677010530', '69677010535', '70518161400', '70518190000', '70518203200', '70518251800', '70934013235', '70934031335', '70934031340', '70934040135', '70934040140', '70934051135', '70934055635', '70934055640', '71205005330', '71205005335', '71205005360', '71205005390', '71205038830', '71205038835', '71209000605', '71209000610', '71335031901', '71335031902', '71335031903', '71335031904', '71335031905', '71335031906', '71335031907', '71335031908', '71335031909', '71335069500', '71335069501', '71335069502', '71335069503', '71335069504', '71335069505', '71335069506', '71335069507', '71335069508', '71335069509', '71335122200', '71335122201', '71335122202', '71335122203', '71335122204', '71335122205', '71335122206', '71335122207', '71335122208', '71335122209', '71335138100', '71335138101', '71335138102', '71335138103', '71335138104', '71335138105', '71335138106', '71335138107', '71335138108', '71335138109', '75834012301', '75834012305', '76483004200', '76483004204', '76483004205']
213706	['40076094555', '55289056415', '55289056420', '55289056448']
81944	[]
215018	[]
605173	[]
605718	[]
215019	[]
151131	[]
215020	[]
327361	[]
60223	[]
859393	[]
829539	['00472031038', '00472031045', '00781718219', '00781718270', '45802084601', '51672136403', '51672136406', '66993086948', '68462030147', '68462030155']
830648	['00299590800', '00299590802', '00299590825', '00299590845']
307731	['00093630195', '11410095617', '11410095638', '11410095644', '21130070805', '41250028805', '42546072045', '49967035401', '49967035402', '50090200400', '51672415506', '55910088005', '68462040355', '69842008805', '69842008816', '70000004301', '70000004302']
153183	['00299491000', '00299491010', '00299491015', '00299491040', '00299491045', '00299492045', '00299591045', '35356029045']
1663745	['51672138409']
1663747	['00299590600', '00299590602', '00299590605', '00299590615', '00299590630', '00299590645', '00299590660', '00299590670']
722111	['00472012645', '00781714219', '00781714270', '51672137706', '51672137709', '66993088445', '66993088448', '69007091825']
722113	['00299591802', '00299591815', '00299591825', '00299591845', '35356029245']
798061	['00682005314', '49908011800', '49908011814']
798111	[]
313852	['00168042446', '45802045384']
284420	['00299591545', '35356029145']
905385	['69007091202']
905387	['00299591201', '00299591202']
307732	['28595053060', '71297041002']
213308	[]
224914	[]
1364415	[]
215021	[]
1147324	[]
849863	[]
900431	[]
84815	[]
352398	[]
1666386	[]
16521	[]
141400	[]
881341	['42794000308', '60505394703']
881343	['46014050101', '61958050101']
1439889	[]
258345	[]
215025	[]
296	[]
579337	[]
309	[]
827744	[]
318	[]
730784	[]
204823	[]
332	[]
17050	[]
215028	[]
1803887	[]
1658084	[]
1658087	['50242008801']
1658089	[]
1658091	['50242008701']
353445	[]
215031	[]
891434	[]
91413	[]
240031	[]
1490053	[]
215032	[]
215033	[]
42512	[]
91697	[]
91698	[]
202632	[]
215034	[]
215035	[]
301543	[]
284649	[]
643325	[]
284650	[]
215039	[]
326625	[]
669348	[]
327008	[]
757737	[]
757745	[]
153010	[]
702198	[]
215040	[]
215041	[]
993800	[]
215043	[]
284651	[]
643061	[]
902630	[]
1722328	[]
1741392	[]
1739804	[]
631036	[]
215045	[]
541299	[]
215048	[]
215049	[]
91710	[]
1245271	[]
1430438	[]
1430446	[]
1430449	['00597014130']
1430451	[]
1430453	['00597013730', '00597013790']
1430455	[]
1430457	['00597013830', '00597013895']
1430441	[]
542720	[]
845509	[]
1232150	[]
805507	[]
857925	[]
1006306	[]
1116690	[]
1303861	[]
1431428	[]
1537481	[]
1661803	[]
1799399	[]
1942128	[]
1858959	[]
1942162	[]
1543203	[]
580117	[]
1007038	[]
580122	[]
215051	[]
352400	[]
215054	[]
1796380	[]
594450	[]
215057	[]
215058	[]
1598653	[]
338817	[]
1804755	[]
1804758	['58468004001']
1804760	[]
1804762	['58468004101']
397	[]
1307838	[]
1441296	[]
228655	[]
187024	[]
226718	[]
885183	[]
1008507	[]
885192	[]
885195	['50633011011', '50633011012']
215059	[]
883713	[]
1012194	[]
1304365	[]
215060	[]
215062	[]
1363771	[]
692691	[]
540349	[]
1366495	[]
1044447	[]
1088043	[]
900446	[]
1918195	[]
215064	[]
214922	[]
214924	[]
204182	[]
214925	[]
214926	[]
214927	[]
214928	[]
214929	[]
214930	[]
91648	[]
214931	[]
91650	[]
128772	[]
214934	[]
224910	[]
214936	[]
203757	[]
214937	[]
214938	[]
214939	[]
215065	[]
151311	[]
1796726	[]
809470	[]
1876665	[]
704846	[]
215067	[]
1116533	[]
91658	[]
1552344	[]
880408	[]
1942753	[]
215068	[]
753121	[]
761158	[]
753117	[]
761987	[]
1041509	[]
762586	[]
1041505	[]
884074	[]
215070	[]
215071	[]
540148	[]
215072	[]
828323	[]
761156	[]
215073	[]
215074	[]
903976	[]
261443	[]
426	[]
1007546	[]
1007272	[]
1007523	[]
1014426	[]
1008717	[]
1007528	[]
1008987	[]
800950	[]
800954	[]
801021	['00338112304', '00338114703']
801031	['00338112504', '00338114803']
801034	['00338112704', '00338114903']
801037	[]
800438	['00338109904', '00338113703']
800444	['00338110104', '00338113803']
800449	['00338110304', '00338113903']
1189611	['00409420303', '00409420305', '00990420303']
830684	['00409418703', '00990418703']
1189678	[]
830655	['00049419103', '00409419103', '00409419105', '00409419205', '00990419103', '00990419105']
800192	['00409712207', '00409717117', '00990717117']
801636	[]
801417	['00264191507']
800884	[]
801648	['00338064403', '00338064404', '00338064406']
807371	['00409046805']
800588	['00338050203', '00338050206']
1601982	['00264320055', '00264320555', '00264450000', '00264450005']
801136	['00338049906']
801398	['00338113103']
1189645	['00264936155']
1189269	[]
831827	[]
831831	[]
833092	[]
833096	[]
800037	[]
800862	['00264935055']
1189281	[]
833100	[]
833104	[]
800105	[]
800110	[]
800122	[]
847781	[]
847785	['00409419605', '00990419605']
830661	[]
831430	['00409417803', '00990417803']
830750	[]
801405	['00338113003', '00338113004', '00338113006']
1189640	['00264934155']
801436	[]
801533	[]
801013	[]
801015	['00338110904', '00338114303']
801012	['00338110704', '00338114203']
800400	['00338113203']
800899	[]
830677	[]
800273	['00074416805', '00409416803']
800213	['00409416003']
800345	['00409417905', '00990417905']
198956	[]
1014427	[]
1014431	['00264901055']
801559	[]
800294	[]
800298	[]
800929	[]
800933	['00264937155']
800957	[]
1189310	['00409417103', '00990417103']
800220	['00409416203', '00409416205', '00990416203']
801578	[]
801583	[]
801588	[]
1090639	['00338111504', '00338114503']
801018	['00338111904', '00338114603']
801000	['00338111304', '00338114403']
800405	['00338109104', '00338113403']
800410	['00338109304', '00338113503']
800415	['00338109504', '00338113603']
800420	['00338108904', '00338113303']
1189260	['00409420003']
830638	[]
800241	['00409416403', '00409416405', '00409712107', '00409717217', '00990416403', '00990416405', '00990717217']
141440	[]
200195	[]
807347	[]
221054	[]
352401	[]
707591	[]
547223	[]
215075	[]
543022	[]
542994	[]
543008	[]
380851	[]
380853	[]
430	[]
199672	['00115170149', '00591271202', '16714090701', '31722093502', '31722093528', '42291009302', '42799011002', '51407025802', '54505005522', '54505005528', '69097023772', '69097023773', '70710102101', '70710102105', '70710102107', '70710102108', '70771110301', '70771110305', '70771110307', '70771110308']
211148	['52054055022', '64896069325', '64896069349', '76413014501', '76413014502']
151717	[]
1534763	[]
1117552	[]
828529	[]
1370439	[]
314301	[]
314302	[]
151313	[]
91725	[]
91726	[]
17262	[]
404834	[]
151314	[]
435	[]
214199	[]
348534	[]
404273	[]
307779	[]
152581	[]
351137	['00378699152', '00378699198', '00487030101', '00591346753', '59651018305', '59651018325']
755497	['00093066116', '00472082504', '00472082516', '17856074003', '33261066101', '50383074016', '52959015303', '52959015306', '52959015309', '52959141106', '55887023816', '63629182801', '63629182802', '63874070901', '63874070948', '63874070990', '66689010008', '66689010016', '67296134801', '68151066101', '68788082504', '68788739004', '68788757304', '70752010212']
754900	[]
754902	[]
351136	['00378699252', '00378699298', '00487990401', '00487990425', '00591346853', '59651018405', '59651018425']
352051	['49502069303']
630208	['00378827031', '00378827052', '00378827055', '00378827062', '00378827064', '00378827091', '00378827093', '00487950100', '00487950101', '00487950102', '00487950103', '00487950125', '00487950160', '00591379730', '00591379760', '00591379783', '00781715529', '00781715564', '00781715586', '33261078901', '49999034425', '50090051600', '50090051601', '51662149901', '55045204307', '55154435905', '55887039125', '55887039130', '60687039579', '60687039583', '62947640504', '62947640509', '63187020425', '65862085803', '65862085825', '65862085830', '65862085860', '66267074606', '68071404802', '68071419902', '68071422606', '68071454306', '68071475402', '68788770202', '68788929802', '70518109500', '70518241300', '70518261300', '71872705401', '72189000225', '72189002225', '75619109903', '76204020001', '76204020025', '76204020030', '76204020060']
1437702	['00093672345', '00093672373', '00093672374', '00185732213', '00185732230', '00185732260', '00378967130', '00378967131', '00378967160', '00378967164', '00378967193', '00487020101', '00487020102', '00487020103', '00487020160', '00591381715', '00591381739', '00591381766', '00781714651', '00781714663', '00781714687', '50090166900', '55154435705', '60429097530', '60429097560', '60687040579', '60687040583', '63187052930', '63187052960', '68788767803', '68788927903', '69097017348', '69097017353', '69097017364', '70518172200', '70518172400', '70518224300', '70518225000', '70518235100', '70518262700', '71152020130', '71152020160', '71205005115', '71205005130', '76204060001', '76204060005', '76204060012', '76204060030', '76204060060']
1437704	['49502067230', '49502067260']
245314	['00487990130', '24208034720', '33261061001', '50383074120', '52959074120', '55154435005', '63874070820']
197316	['00378025501', '00378025505', '49999090120', '51079065701', '51079065720', '51407036701', '53217001730', '53489017601', '53489017602', '53489017603', '53489017605', '53489017610', '55289036320', '55289036324', '55289036330', '59651033301', '59651033305', '63629263801', '63629263802', '63874037701', '63874037712', '63874037715', '63874037720', '63874037724', '63874037730', '64980044201', '64980044250', '66267001030', '68084094925', '68084094995', '69238134401', '69238134405', '69339012601', '69543029010', '69543029018', '70954007810', '70954007820']
213799	[]
845060	[]
844695	[]
197318	['00378057201', '00378057205', '51079065801', '51407036801', '52959090620', '53489017701', '53489017702', '53489017703', '53489017705', '53489017710', '55289004530', '55887050930', '59651033401', '59651033405', '63629261101', '63629261102', '63629273601', '63874048501', '63874048503', '63874048505', '63874048512', '63874048515', '63874048520', '63874048524', '63874048530', '63874048560', '64980044301', '64980044350', '68084095225', '68084095295', '69238134501', '69238134505', '69339012701', '69543029110', '69543029118', '70954007910', '70954007920']
213800	[]
102378	[]
844694	[]
142153	[]
1743992	[]
1743994	['69911087401', '69911087501', '69911087601', '69911087701', '69911087901']
1743999	['69911086402', '69911086502', '69911086602', '69911086702', '69911086902']
1000082	[]
1000085	[]
1000089	['00023429001', '00023429003']
203758	[]
1043057	[]
108088	[]
17268	[]
855480	['00168026415', '00168026445', '00168026460', '51672131601', '51672131603', '51672131605', '51672131606', '68462029917', '68462029947', '68462029965']
855482	[]
855474	['00168026315', '00168026345', '00168026360', '51672130601', '51672130603', '51672130606', '68462030017', '68462030047', '68462030065']
855476	['00462026315', '00462026360']
1299079	[]
215083	[]
215084	[]
581494	[]
1191043	[]
17276	[]
151317	[]
215085	[]
70223	[]
307816	[]
105648	['65483011607', '76310002201']
579305	[]
707263	[]
656688	[]
656812	[]
1094004	[]
1372718	[]
151318	[]
688640	[]
215089	[]
215090	[]
215091	[]
215092	[]
1312358	[]
702164	[]
404838	[]
1727480	[]
1727455	[]
1727479	[]
1727485	['50242013001', '50242013086']
1727454	[]
299635	[]
351299	[]
352346	[]
351298	[]
352345	[]
117055	[]
46041	[]
1007560	[]
203152	[]
904447	['51224030110']
904450	[]
904419	['00093514101', '00093514156', '00115167801', '00115167808', '00378356701', '00378356708', '16714063101', '16714063102', '16714063110', '16714063111', '41616063683', '41616063688', '51079094101', '51079094105', '55111058801', '55111058830', '60505259301', '60505259303', '64980034001', '64980034003', '65862032701', '65862032710', '65862032730', '65862032799', '68071079030']
904421	[]
904396	['00093517229', '00093517244', '00115167926', '00115167930', '00115167934', '00378356893', '00378356899', '10135069612', '10135069644', '16252059902', '16252059944', '16714063201', '16714063202', '16714063210', '16714063211', '24658016271', '24658016273', '33261099301', '47335063760', '47335063768', '50090109100', '50090359300', '50090407600', '53217032101', '55111059048', '59746024202', '60429005572', '60505259404', '60723020731', '60723020732', '60723020733', '61919072904', '63629732901', '64980034112', '64980034114', '65862032804', '65862032808', '65862032810', '65862032820', '68071157704', '68071317104', '68071401704', '69097022316', '69097022376', '69543013004', '69543013012', '76439013004']
904399	[]
904405	['00093514256', '00115168008']
904407	[]
904425	['00093514001', '00093514056', '00115167601', '00115167608', '00378356601', '41616063583', '41616063588', '55111058901', '55111058930', '60505259201', '60505259203', '68071079130']
904427	[]
904492	[]
904495	['00006071044']
904462	[]
904465	['00006027001', '00006027021', '00006027044']
1248077	[]
1248083	['00178010100', '00178010101', '00178010102', '17139040000', '17139040001', '17139040004']
904431	['00093517129', '00093517144', '00115168126', '00115168130', '00115168134', '00378356993', '00378356999', '10135069712', '10135069720', '10135069744', '16252060102', '16252060144', '16714063301', '16714063302', '16714063310', '16714063311', '24658016371', '24658016373', '33261055401', '33261082001', '47335063860', '47335063868', '50090180200', '50090180201', '50090232200', '50090232201', '50090312600', '50090312601', '50090469200', '51079094201', '51079094205', '55111059248', '55695001200', '59746024402', '60429005672', '60505259602', '60505259608', '60723020531', '60723020532', '60723020533', '61919068904', '63187017504', '63187058004', '64980034214', '65862032904', '65862032908', '65862032910', '65862032920', '66116042804', '68071151404', '68071334004', '68071407201', '68071412001', '68258301401', '68788713004', '69097022416', '69097022476', '69543013104', '69543013112', '69543013120', '70518003300', '70518003301', '70518026900', '71205004804']
904433	['00006003144', '49999050104', '55887010604']
215093	[]
807353	[]
215095	[]
602335	[]
672511	[]
rxcui	ndcs
215098	[]
1543309	[]
215101	[]
261444	[]
1550958	[]
1494155	[]
849730	[]
323994	[]
244160	[]
285243	[]
1248730	[]
1248731	[]
647813	[]
239062	[]
307818	[]
647894	[]
647896	[]
198453	[]
1668214	[]
479	[]
480	[]
203203	[]
215103	[]
17300	[]
46043	[]
17305	[]
1007008	[]
46049	[]
307823	[]
213958	[]
307824	[]
213959	[]
629565	[]
629568	[]
993072	['58468016001', '58468016002']
630679	[]
540455	[]
753092	[]
827148	[]
323879	[]
352403	[]
1659152	[]
325646	[]
1009219	[]
1050797	[]
802519	[]
900937	[]
1009247	[]
1009249	[]
1050798	[]
1050802	[]
1009220	[]
1009253	[]
1011710	[]
1011712	['00078052115', '70839011230']
1011713	[]
1011715	['00078052215', '70839012530']
1011718	[]
1011724	[]
1011736	['49884042411', '66993014130']
1011738	['35356013330', '70839015030']
1050803	[]
1050805	[]
1050806	[]
1050808	[]
1009315	[]
1009319	[]
1050809	[]
1050811	[]
1050812	[]
1050814	[]
1009320	[]
1009324	[]
1011750	[]
1011752	['00078052315', '00078052334', '00078052335', '70839031230']
1011753	[]
1011755	['70839032530']
1011729	[]
1011735	[]
1011739	['49884042511', '66993014230']
1011741	['70839030030']
732498	[]
81864	[]
313847	[]
213502	['59212060122', '62856060122']
215111	[]
17315	[]
352404	[]
215107	[]
215108	[]
215109	[]
1492388	[]
352407	[]
1193219	[]
353451	[]
215110	[]
701317	[]
608686	[]
151325	[]
215113	[]
215114	[]
1310548	[]
470149	[]
834836	[]
668258	[]
215117	[]
656863	[]
745485	[]
745487	[]
644780	[]
508	[]
690015	[]
1007054	[]
687195	[]
1008008	[]
1420991	[]
1008104	[]
1540662	[]
1651593	[]
1007501	[]
1491547	[]
744973	[]
1048327	[]
1442087	['00363313101', '11673070020', '11673077701', '49035095103', '59779043604', '69291902001', '69291902002', '69739007001', '69842066802', '69842072527', '69842072547', '69998010001', '69998010002', '70211070508']
1442092	['00259110501', '00259110520', '00259110550']
1052620	['00573024625', '00573024626']
210657	[]
1293629	[]
1293631	[]
1540663	['69418000415', '69418000515', '69440000515']
1540669	['49430005315']
1595989	['69329001201', '69329001215', '69440000315']
1651594	['69329001101', '69329001115']
307828	[]
238605	[]
307831	[]
1420992	[]
1420997	['41167426600']
1048344	[]
241509	['00299410305', '00299410500', '00299410505', '00299410510', '00299410515', '11084014127', '11084024108', '11084024110', '11084024139', '49035083817', '54629095800', '70211070304', '70211070316', '70648033301', '71759004001', '71759004002', '72216010301', '72216010311']
1087954	['11084004008', '11084004039', '45156561601', '45156561602', '70211070202', '70211070208', '70211070233']
614833	[]
324026	[]
1420993	[]
215122	[]
215123	[]
215124	[]
215125	[]
1795958	[]
865258	[]
215127	[]
704847	[]
1090700	[]
215128	[]
215129	[]
215130	[]
215132	[]
215135	[]
543743	[]
215138	[]
215139	[]
215140	[]
215142	[]
215144	[]
215146	[]
215147	[]
215148	[]
215149	[]
215150	[]
215152	[]
808002	[]
724239	[]
352414	[]
285042	[]
672542	[]
798756	[]
798760	[]
672553	[]
215154	[]
801076	[]
705754	[]
692398	[]
708361	[]
519	[]
197319	['00378013701', '00378013710', '00591554301', '00591554310', '00603211521', '00603211532', '00615159205', '00615159239', '00615832105', '00615832139', '00904657161', '10544054530', '10544054590', '16714004107', '16714004110', '16714004112', '16729013401', '16729013410', '16729013416', '16729013417', '29300034901', '29300034905', '29300034910', '33261081000', '33261081030', '33261081060', '33261081090', '35356085630', '35356085660', '35356085690', '43063007920', '43063007930', '43063007960', '43063007990', '43063079320', '43063079360', '43063079390', '43063093501', '43063097520', '43063097590', '49999037430', '49999037490', '50090004204', '50090254403', '50090254404', '50090376003', '50090376004', '50090466203', '50090466204', '50268006311', '50268006315', '50742013501', '50742013510', '51079020501', '51079020517', '51079020520', '52959047300', '52959047330', '53217018700', '53217018730', '53217018760', '53217018790', '53489015601', '53489015602', '53489015605', '53489015610', '53808075501', '53808092901', '55111072901', '55111072910', '55154553400', '55154789200', '57664043413', '57664043418', '57664043488', '58118115608', '60429018001', '60429018010', '60429018018', '60429018090', '60760013490', '61919074830', '61919074890', '62584098801', '62584098811', '62584098880', '62584098885', '63187046330', '63304053901', '63304053910', '63629167501', '63629167502', '63629167503', '63629167504', '63629167505', '63629167506', '63629650801', '63629650802', '63629650803', '63629650804', '63629790801', '63629790802', '63629802001', '63739041010', '63874075401', '63874075412', '63874075414', '63874075420', '63874075430', '63874075440', '63874075460', '66267066530', '66267066560', '66267066590', '67046000830', '67046002230', '67296126503', '67296131403', '67544073630', '67544073660', '67544073674', '67544073680', '67544098830', '67544098860', '67544098880', '67877012201', '67877012210', '68071413103', '68071413106', '68071413109', '68788738303', '68788738306', '68788738309', '69967000801', '69967000802', '69967000803', '70518045100', '70518045101', '70518157600', '70518167800', '70518167801', '70710120900', '70710120901', '70771112600', '70771112601', '70934007230', '70934007290', '70934020930', '70934029530', '70934029590', '71205020830', '71205020860', '71205020890', '71335046701', '71335046702', '71335046703', '71335046704', '71335046705', '71335046706', '71610019460', '71610019480', '71610019760', '71610019780']
213995	['65483099110', '70199001590']
197320	['00378018101', '00378018105', '00591554401', '00591554405', '00603211621', '00603211628', '00603211632', '00615159305', '00615159339', '00904657261', '10544054730', '10544054790', '10544091130', '10544091190', '16714004207', '16714004210', '16714004211', '16729013501', '16729013510', '16729013516', '16729013517', '29300035001', '29300035005', '29300035010', '33261059730', '33261059760', '33261059790', '33261059799', '43063077430', '43063077490', '43063093401', '43063097630', '43063097690', '43353008860', '43353018660', '49999024503', '50090186700', '50090186701', '50090186703', '50090375800', '50090375803', '50090466300', '50090466301', '50090466303', '50268006411', '50268006415', '50436302803', '50742013601', '50742013605', '51079020601', '51079020617', '51079020619', '51079020620', '51655003852', '52959031100', '52959031104', '52959031130', '52959031160', '52959031184', '53002482000', '53002482003', '53002482006', '53489015701', '53489015702', '53489015705', '53489015707', '53489015710', '53808060401', '53808102602', '55111073001', '55111073005', '55111073010', '55154545400', '55154798100', '55289001001', '55289001003', '55289001030', '55289001090', '55700003530', '55700003590', '55700054030', '55700054090', '57664043613', '57664043618', '57664043688', '60429001430', '60429001490', '60429018101', '60429018105', '60429018190', '60760013990', '61919047130', '61919047190', '62584071301', '62584071311', '63187024030', '63304054001', '63304054005', '63629178101', '63629178102', '63629178103', '63629178104', '63629178105', '63629640501', '63629799901', '63629802101', '63739079610', '66267022430', '66267022460', '66267022490', '66336053030', '67544037130', '67544037160', '67877012305', '67877012310', '68788632301', '68788632303', '68788632309', '68788754201', '68788754203', '68788754209', '68788983101', '68788983103', '69967000901', '69967000902', '69967000903', '70518140700', '70518157300', '70518157301', '70518157302', '70518180600', '70710121000', '70710121001', '70710121005', '70771112700', '70771112701', '70771112705', '70934038930', '70934038990', '70934050430', '71205004930', '71205004960', '71205004990', '71205037730', '71205037760', '71205037790', '71335011201', '71335011202', '71335011203', '71335011204', '71335059901', '71335059902', '71335059903', '71335059904', '71610006460', '71610023160', '71610025360']
213998	['65483099310', '65483099350', '67046068130', '70199001605', '70199001690']
252931	['00143953301']
261265	['59730560101', '67457018750']
80566	[]
745489	[]
731020	[]
731010	[]
244168	[]
244173	[]
244170	[]
247646	[]
244174	[]
244169	[]
246810	[]
251930	[]
248358	[]
244172	[]
247094	[]
244175	[]
249431	[]
249337	[]
215155	[]
892507	[]
892510	['00268610006', '00268610010', '65044301402', '65044301501']
1305638	[]
215157	[]
279645	[]
284205	['00093526119', '00093526129', '00378524632', '00378524685', '10147096101', '27241004221', '27241004268']
284589	['50458021001']
284204	['00093526018', '00093526019', '00378524532', '00378524585', '10147096201', '27241004111', '27241004168']
284588	['50458021101']
283792	[]
1487000	[]
262233	[]
727248	[]
91263	[]
359155	[]
359156	[]
313833	[]
664733	[]
359152	[]
359154	[]
476786	[]
1191375	[]
1007552	[]
1191376	['13925017448', '71850181001', '72056002048']
1191394	['68040070502', '68040070513', '69646070502', '69646070503', '69646070508', '69646070511', '69646070513', '69646070515']
858356	[]
858370	['68040070601', '68040070608', '68040070616']
1928875	['69646071601', '69646071602', '69646071610', '69646071611', '69646071660']
1306128	[]
318340	[]
637454	[]
242588	[]
259301	[]
577868	[]
577870	[]
644309	[]
240554	[]
1312539	[]
1486842	[]
1485216	[]
1041513	[]
1368001	[]
1368384	[]
1368402	[]
1368385	['45802021172']
1368391	['64764033701', '64764033760', '64764033777', '64764033780']
1368392	['45802016972']
1368398	['64764033501', '64764033560', '64764033577', '64764033580']
1368403	['45802023865']
1368409	['64764012103', '64764012104', '64764012105']
1368410	['45802026065']
1368416	['64764012303', '64764012304', '64764012305']
1368417	['45802030465']
1368423	['64764012403', '64764012404', '64764012405']
1368034	['45802010365']
1368036	['64764012502', '64764012530', '64764012550', '64764012590']
1368424	['45802035165']
1368430	['64764025103', '64764025104', '64764025105']
1368431	['45802040265']
1368437	['64764025303', '64764025304', '64764025305']
1368438	['45802049965']
1368444	['64764025403', '64764025404', '64764025405']
1368006	['45802015065', '71610030009']
1368012	['64764025002', '64764025030', '64764025050', '64764025090']
1368018	['45802008765']
1368020	['64764062530', '64764062590']
1368000	[]
215165	[]
71901	[]
151330	[]
750168	[]
261446	[]
858367	[]
1372748	[]
215168	[]
85248	[]
403975	['00054029513', '42291012330', '45963047903', '49884081911', '64980045303', '64980045350', '65162024803', '65162024850']
540181	['54766089403', '65483089403']
259306	['00054029613', '00054029625', '42291012430', '45963048003', '49884082011', '64980045403', '64980045450', '65162024903', '65162024950']
261362	['54766089503', '65483089503']
85247	[]
397406	[]
602512	[]
535	[]
991743	[]
1661208	['00053721201', '00053721301']
1233711	['00944280201', '00944280202', '00944280303', '00944280404', '00944281401', '00944281501']
1013867	['00944288401', '00944288402']
1661220	['13533070002', '13533070011', '13533070101', '13533070211', '13533070310', '13533070501', '13533070511']
991722	['00053720102', '00053720202', '00053720302']
236797	[]
1428958	[]
237099	[]
1716011	[]
1087329	[]
1087330	[]
1087335	[]
1305281	[]
1305143	[]
1369746	[]
883795	['00037607230']
560	[]
1306125	[]
1363429	[]
1487162	[]
1306126	[]
259351	[]
429558	[]
631214	[]
631217	[]
1302346	[]
1302364	[]
1424867	[]
968644	[]
1011087	['00043300520', '00043300550']
1800492	[]
17511	[]
1371307	[]
1304564	['54643564900', '54643564901', '54643565002', '54643786201', '54643787402', '54643900701', '54643901502']
1305205	['61703042153', '61703042163']
1305222	['54643564600', '54643564601', '54643564700', '54643564702', '54643788601', '54643789800', '54643902301', '54643903100']
1304503	[]
1308385	[]
1100375	[]
39626	[]
153358	[]
352415	[]
153266	[]
979439	[]
215171	[]
215172	[]
215173	[]
1733796	[]
596	[]
308049	[]
485413	['00228401911', '49884011052', '49884011074']
577634	[]
