signal	unit	muliplier	addition	Round	rndf
Hemoglobin	gm/dL	1	0	0.1	
Hemoglobin	1	1	0	0.1	
Hemoglobin	g/ul	1	0	0.1	
Hemoglobin	NA	1	0	0.1	
INR	ratio	1	0	0.1	
INR	RATIO	1	0	0.1	
INR	Ratio	1	0	0.1	
INR	1	1	0	0.1	
INR	UNK	1	0	0.1	
INR	0	1	0	0.1	
INR	NA	1	0	0.1	
INR	THERAPY	1	0	0.1
LDL	MG/DL (CALC)	1	0	1	54062
LDL	MG/DL	1	0	1	149929
LDL	mg/dL (calc)	1	0	1	143560
LDL	mg/dL	1	0	1	6323132
LDL	mg/dl	1	0	1	13
LDL	UNK	1	0	1	916
LDL	ng/dL	1	0	1	1
LDL	1	1	0	1	10481
LDL	NA	1	0	1	74
LDL	ng/mL	1	0	1	1
LPA	MG/DL	1	0	0.1	
LPA	nmol/L	1	0	0.1	
LPA	mg/dL	1	0	0.1	
LPA	1	1	0	0.1	
LPA	NMOL/L	1	0	0.1	
LPA	NA	1	0	0.1	
LPA	UNK	1	0	0.1	
LPA	0	1	0	0.1	
Lipase	IU/L	1	0	1	
Lipase	Units/L	1	0	1	
Lipase	u/l	1	0	1	
Lipase	UNK	1	0	1	
Lipase	0	1	0	1	
Lipase	NA	1	0	1	
Lipase	IUnit/L	1	0	1
Lipase	UNITS/L	1	0	1	
Lipase	U/L	1	0	1	
Lipase	UNITS	1	0	1	
Lipase	units/L	1	0	1	
Lipase	Units/Liter	1	0	1	
Lipase	unit/L	1	0	1	
Lipase	1	1	0	1	
Lymphocytes#	1	1	0	1	
Lymphocytes%	Cells/uL	1	0	0.1	
Lymphocytes%	%	1	0	0.1	
Lymphocytes%	UNK	1	0	0.1	
Lymphocytes%	Cells/mcL	1	0	0.1	
Lymphocytes%	PERCENT	1	0	0.1	
Lymphocytes%	NA	1	0	0.1	
MicroAlbumin_over_Creatinine	MCG/MG	1	0	0.1	
MicroAlbumin_over_Creatinine	MG/G	1	0	0.1	
MicroAlbumin_over_Creatinine	MG/G CREAT	1	0	0.1	
MicroAlbumin_over_Creatinine	UNK	1	0	0.1	
MicroAlbumin_over_Creatinine	mg/gcreat	1	0	0.1	
Monocytes%	1	1	0	0.1	
Monocytes%	PERCENT	1	0	0.1	
Monocytes%	NA	1	0	0.1	
Monocytes%	Cells/mcL	1	0	0.1	
Monocytes%	%	1	0	0.1	
Monocytes%	UNK	1	0	0.1	
Na	NA	1	0	1	
Na	MMOL/L	1	0	1	
Na	mEq/L	1	0	1	
Na	MEQ/L	1	0	1	
Na	1	1	0	1	
Na	mEQ/L	1	0	1	
Na	mmol/L	1	0	1	
Na	UNK	1	0	1	
Na	0	1	0	1	
