signal,res
Basophils#,0.01
Eosinophils#,0.1
Hematocrit,0.1
Hemoglobin,0.1
Lymphocytes#,0.1
MCH,0.1
MCHC-M,0.1
MCV,1.0
Monocytes#,0.1
Neutrophils#,0.1
Platelets,1.0
RBC,0.1
WBC,0.1
MPV,0.1
Lymphocytes%,0.1
Basophils%,0.1
Monocytes%,0.1
Eosinophils%,0.1
Neutrophils%,0.1
RDW,0.1
