"icd9cm","icd10cm","flags","approximate","no_map","combination","scenario","choice_list"
"0015","3E04002","10000",1,0,0,0,0
"0016","NoPCS","11000",1,1,0,0,0
"0017","3E033XZ","10000",1,0,0,0,0
"0017","3E043XZ","10000",1,0,0,0,0
"0017","3E050XZ","10000",1,0,0,0,0
"0017","3E063XZ","10000",1,0,0,0,0
"0017","3E053XZ","10000",1,0,0,0,0
"0017","3E060XZ","10000",1,0,0,0,0
"0017","3E040XZ","10000",1,0,0,0,0
"0017","3E030XZ","10000",1,0,0,0,0
"0018","3E0G80M","10000",1,0,0,0,0
"0018","3E0H80M","10000",1,0,0,0,0
"0018","3E0CX0M","10000",1,0,0,0,0
"0018","3E0M30M","10000",1,0,0,0,0
"0018","3E0C70M","10000",1,0,0,0,0
"0018","3E0600M","10000",1,0,0,0,0
"0018","3E0H30M","10000",1,0,0,0,0
"0018","3E0E70M","10000",1,0,0,0,0
"0018","3E0J30M","10000",1,0,0,0,0
"0018","3E0Y70M","10000",1,0,0,0,0
"0018","3E0F30M","10000",1,0,0,0,0
"0018","3E0Q30M","10000",1,0,0,0,0
"0018","3E0N80M","10000",1,0,0,0,0
"0018","3E0D70M","10000",1,0,0,0,0
"0018","3E00X0M","10000",1,0,0,0,0
"0018","3E0130M","10000",1,0,0,0,0
"0018","3E0P30M","10000",1,0,0,0,0
"0018","3E0M70M","10000",1,0,0,0,0
"0018","3E09X0M","10000",1,0,0,0,0
"0018","3E0N70M","10000",1,0,0,0,0
"0018","3E0J70M","10000",1,0,0,0,0
"0018","3E0G30M","10000",1,0,0,0,0
"0018","3E0F70M","10000",1,0,0,0,0
"0018","3E0DX0M","10000",1,0,0,0,0
"0018","3E040WL","10000",1,0,0,0,0
"0018","3E0D30M","10000",1,0,0,0,0
"0018","3E0E80M","10000",1,0,0,0,0
"0018","3E0J80M","10000",1,0,0,0,0
"0018","3E0W30M","10000",1,0,0,0,0
"0018","3E063WL","10000",1,0,0,0,0
"0018","3E060WL","10000",1,0,0,0,0
"0018","3E053WL","10000",1,0,0,0,0
"0018","3E0G70M","10000",1,0,0,0,0
"0018","3E033WL","10000",1,0,0,0,0
"0018","3E0530M","10000",1,0,0,0,0
"0018","3E0E30M","10000",1,0,0,0,0
"0018","3E0500M","10000",1,0,0,0,0
"0018","3E0R30M","10000",1,0,0,0,0
"0018","3E0930M","10000",1,0,0,0,0
"0018","3E0A30M","10000",1,0,0,0,0
"0018","3E0400M","10000",1,0,0,0,0
"0018","3E030WL","10000",1,0,0,0,0
"0018","3E0970M","10000",1,0,0,0,0
"0018","3E043WL","10000",1,0,0,0,0
"0018","3E0C30M","10000",1,0,0,0,0
"0018","3E0230M","10000",1,0,0,0,0
"0018","3E0U30M","10000",1,0,0,0,0
"0018","3E0L70M","10000",1,0,0,0,0
"0018","3E0K30M","10000",1,0,0,0,0
"0018","3E0P70M","10000",1,0,0,0,0
"0018","3E0Y30M","10000",1,0,0,0,0
"0018","3E0Q70M","10000",1,0,0,0,0
"0018","3E050WL","10000",1,0,0,0,0
"0018","3E0K80M","10000",1,0,0,0,0
"0018","3E0B30M","10000",1,0,0,0,0
"0018","3E0P80M","10000",1,0,0,0,0
"0018","3E0B70M","10000",1,0,0,0,0
"0018","3E0K70M","10000",1,0,0,0,0
"0018","3E0630M","10000",1,0,0,0,0
"0018","3E0300M","10000",1,0,0,0,0
"0018","3E0L30M","10000",1,0,0,0,0
"0018","3E0H70M","10000",1,0,0,0,0
"0018","3E0V30M","10000",1,0,0,0,0
"0018","3E0330M","10000",1,0,0,0,0
"0018","3E0F80M","10000",1,0,0,0,0
"0018","3E0S30M","10000",1,0,0,0,0
"0018","3E0430M","10000",1,0,0,0,0
"0018","3E0BX0M","10000",1,0,0,0,0
"0018","3E0N30M","10000",1,0,0,0,0
"0019","3E040GN","10000",1,0,0,0,0
"0019","3E060GN","10000",1,0,0,0,0
"0019","3E050GN","10000",1,0,0,0,0
"0019","3E043GN","10000",1,0,0,0,0
"0019","3E063GN","10000",1,0,0,0,0
"0019","A009","00000",0,0,0,0,0
"0019","3E030GN","10000",1,0,0,0,0
"0019","3E033GN","10000",1,0,0,0,0
"0019","3E053GN","10000",1,0,0,0,0
"0020","A0100","10000",1,0,0,0,0
"0021","B343ZZ3","10000",1,0,0,0,0
"0021","B345ZZ3","10000",1,0,0,0,0
"0021","B348ZZ3","10000",1,0,0,0,0
"0021","A011","00000",0,0,0,0,0
"0021","B344ZZ3","10000",1,0,0,0,0
"0021","B347ZZ3","10000",1,0,0,0,0
"0021","B346ZZ3","10000",1,0,0,0,0
"0022","B548ZZ3","10000",1,0,0,0,0
"0022","A012","00000",0,0,0,0,0
"0022","B342ZZ3","10000",1,0,0,0,0
"0022","B546ZZ3","10000",1,0,0,0,0
"0022","B549ZZ3","10000",1,0,0,0,0
"0022","B547ZZ3","10000",1,0,0,0,0
"0022","B24CZZ3","10000",1,0,0,0,0
"0022","B340ZZ3","10000",1,0,0,0,0
"0022","B24BZZ3","10000",1,0,0,0,0
"0022","B34TZZ3","10000",1,0,0,0,0
"0022","B341ZZ3","10000",1,0,0,0,0
"0022","B34SZZ3","10000",1,0,0,0,0
"0023","B54MZZ3","10000",1,0,0,0,0
"0023","B54DZZ3","10000",1,0,0,0,0
"0023","B34HZZ3","10000",1,0,0,0,0
"0023","B54PZZ3","10000",1,0,0,0,0
"0023","B44FZZ3","10000",1,0,0,0,0
"0023","B44GZZ3","10000",1,0,0,0,0
"0023","B54NZZ3","10000",1,0,0,0,0
"0023","B44LZZ3","10000",1,0,0,0,0
"0023","B34KZZ3","10000",1,0,0,0,0
"0023","B54BZZ3","10000",1,0,0,0,0
"0023","B44HZZ3","10000",1,0,0,0,0
"0023","A013","00000",0,0,0,0,0
"0023","B54CZZ3","10000",1,0,0,0,0
"0023","B34JZZ3","10000",1,0,0,0,0
"0024","B240ZZ3","10000",1,0,0,0,0
"0024","B241ZZ3","10000",1,0,0,0,0
"0024","B246ZZ3","10000",1,0,0,0,0
"0024","B244ZZ3","10000",1,0,0,0,0
"0024","B24DZZ3","10000",1,0,0,0,0
"0024","B245ZZ3","10000",1,0,0,0,0
"0025","B54KZZ3","10000",1,0,0,0,0
"0025","B448ZZ3","10000",1,0,0,0,0
"0025","B54LZZ3","10000",1,0,0,0,0
"0025","B54JZZ3","10000",1,0,0,0,0
"0025","B446ZZ3","10000",1,0,0,0,0
"0025","B447ZZ3","10000",1,0,0,0,0
"0028","B445ZZ3","10000",1,0,0,0,0
"0028","B440ZZ3","10000",1,0,0,0,0
"0028","B543ZZ3","10000",1,0,0,0,0
"0028","B54TZZ3","10000",1,0,0,0,0
