ISBT	Description	prodCDC
E3024	Apheresis PLATELETS|ACD-A/XX/20-24C|Open|ResLeu:<5log6|1st container	LRAPHPLAT
E3025	Apheresis PLATELETS|ACD-A/XX/20-24C|Open|ResLeu:<5log6|2nd container	LRAPHPLAT
E3026	Apheresis PLATELETS|ACD-A/XX/20-24C|Open|ResLeu:<5log6|3rd container	LRAPHPLAT
E3027	Apheresis PLATELETS|ACD-A/XX/20-24C|Open|ResLeu:<5log6|4th container	LRAPHPLAT
E3028	Apheresis PLATELETS|ACD-A/XX/20-24C|Open|ResLeu:<5log6|1st container:not auto	LRAPHPLAT
E3029	Apheresis PLATELETS|ACD-A/XX/20-24C|Open|ResLeu:<5log6|2nd container:not auto	LRAPHPLAT
E3030	Apheresis PLATELETS|ACD-A/XX/20-24C|Open|Plasma reduced	APHPLAT
E3031	Apheresis PLATELETS|ACD-A/XX/20-24C|Open|Plasma reduced|Aphr not automated	APHPLAT
E3032	Apheresis PLATELETS|ACD-A/XX/20-24C|Open|Plasma reduced|1st container	APHPLAT
E3033	Apheresis PLATELETS|ACD-A/XX/20-24C|Open|Plasma reduced|2nd container	APHPLAT
E3034	Apheresis PLATELETS|ACD-A/XX/20-24C|Open|Plasma reduced|3rd container	APHPLAT
E3035	Apheresis PLATELETS|ACD-A/XX/20-24C|Open|Plasma reduced|4th container	APHPLAT
E3036	Apheresis PLATELETS|ACD-A/XX/20-24C|Open|Plasma reduced|1st container:not auto	APHPLAT
E3037	Apheresis PLATELETS|ACD-A/XX/20-24C|Open|Plasma reduced|2nd container:not auto	APHPLAT
E3038	Apheresis PLATELETS|ACD-A/XX/20-24C|Open|Aphr not automated	APHPLAT
E3039	Apheresis PLATELETS|ACD-A/XX/20-24C|Open|1st container	APHPLAT
E3040	Apheresis PLATELETS|ACD-A/XX/20-24C|Open|2nd container	APHPLAT
E3041	Apheresis PLATELETS|ACD-A/XX/20-24C|Open|3rd container	APHPLAT
E3042	Apheresis PLATELETS|ACD-A/XX/20-24C|Open|4th container	APHPLAT
E3043	Apheresis PLATELETS|ACD-A/XX/20-24C|Open|1st container:not auto	APHPLAT
E3044	Apheresis PLATELETS|ACD-A/XX/20-24C|Open|2nd container:not auto	APHPLAT
E3045	Apheresis PLATELETS|ACD-A/XX/20-24C|Irradiated	IRAPHPLAT
E3046	Apheresis PLATELETS|ACD-A/XX/20-24C|Irradiated|ResLeu:<5log6	IRLRAPHPLAT
E3047	Apheresis PLATELETS|ACD-A/XX/20-24C|Irradiated|ResLeu:<5log6|Plasma reduced	IRLRAPHPLAT
E3048	Apheresis PLATELETS|ACD-A/XX/20-24C|Irradiated|ResLeu:<5log6|Plasma reduced|Aphr not automated	IRLRAPHPLAT
E3049	Apheresis PLATELETS|ACD-A/XX/20-24C|Irradiated|ResLeu:<5log6|Plasma reduced|1st container	IRLRAPHPLAT
E3050	Apheresis PLATELETS|ACD-A/XX/20-24C|Irradiated|ResLeu:<5log6|Plasma reduced|2nd container	IRLRAPHPLAT
E3051	Apheresis PLATELETS|ACD-A/XX/20-24C|Irradiated|ResLeu:<5log6|Plasma reduced|3rd container	IRLRAPHPLAT
E3052	Apheresis PLATELETS|ACD-A/XX/20-24C|Irradiated|ResLeu:<5log6|Plasma reduced|4th container	IRLRAPHPLAT
E3053	Apheresis PLATELETS|ACD-A/XX/20-24C|Irradiated|ResLeu:<5log6|Plasma reduced|1st container:not auto	IRLRAPHPLAT
E3054	Apheresis PLATELETS|ACD-A/XX/20-24C|Irradiated|ResLeu:<5log6|Plasma reduced|2nd container:not auto	IRLRAPHPLAT
E3055	Apheresis PLATELETS|ACD-A/XX/20-24C|Irradiated|ResLeu:<5log6|Aphr not automated	IRLRAPHPLAT
E3056	Apheresis PLATELETS|ACD-A/XX/20-24C|Irradiated|ResLeu:<5log6|1st container	IRLRAPHPLAT
E3057	Apheresis PLATELETS|ACD-A/XX/20-24C|Irradiated|ResLeu:<5log6|2nd container	IRLRAPHPLAT
E3058	Apheresis PLATELETS|ACD-A/XX/20-24C|Irradiated|ResLeu:<5log6|3rd container	IRLRAPHPLAT
E3059	Apheresis PLATELETS|ACD-A/XX/20-24C|Irradiated|ResLeu:<5log6|4th container	IRLRAPHPLAT
E3060	Apheresis PLATELETS|ACD-A/XX/20-24C|Irradiated|ResLeu:<5log6|1st container:not auto	IRLRAPHPLAT
E3061	Apheresis PLATELETS|ACD-A/XX/20-24C|Irradiated|ResLeu:<5log6|2nd container:not auto	IRLRAPHPLAT
E3062	Apheresis PLATELETS|ACD-A/XX/20-24C|Irradiated|Plasma reduced	IRAPHPLAT
E3063	Apheresis PLATELETS|ACD-A/XX/20-24C|Irradiated|Plasma reduced|Aphr not automated	IRAPHPLAT
E3064	Apheresis PLATELETS|ACD-A/XX/20-24C|Irradiated|Plasma reduced|1st container	IRAPHPLAT
E3065	Apheresis PLATELETS|ACD-A/XX/20-24C|Irradiated|Plasma reduced|2nd container	IRAPHPLAT
E3066	Apheresis PLATELETS|ACD-A/XX/20-24C|Irradiated|Plasma reduced|3rd container	IRAPHPLAT
E3067	Apheresis PLATELETS|ACD-A/XX/20-24C|Irradiated|Plasma reduced|4th container	IRAPHPLAT
E3068	Apheresis PLATELETS|ACD-A/XX/20-24C|Irradiated|Plasma reduced|1st container:not auto	IRAPHPLAT
E3069	Apheresis PLATELETS|ACD-A/XX/20-24C|Irradiated|Plasma reduced|2nd container:not auto	IRAPHPLAT
E3070	Apheresis PLATELETS|ACD-A/XX/20-24C|Irradiated|Aphr not automated	IRAPHPLAT
E3071	Apheresis PLATELETS|ACD-A/XX/20-24C|Irradiated|1st container	IRAPHPLAT
E3072	Apheresis PLATELETS|ACD-A/XX/20-24C|Irradiated|2nd container	IRAPHPLAT
E3073	Apheresis PLATELETS|ACD-A/XX/20-24C|Irradiated|3rd container	IRAPHPLAT
E3074	Apheresis PLATELETS|ACD-A/XX/20-24C|Irradiated|4th container	IRAPHPLAT
E3075	Apheresis PLATELETS|ACD-A/XX/20-24C|Irradiated|1st container:not auto	IRAPHPLAT
E3076	Apheresis PLATELETS|ACD-A/XX/20-24C|Irradiated|2nd container:not auto	IRAPHPLAT
E3077	Apheresis PLATELETS|ACD-A/XX/20-24C|ResLeu:<5log6	LRAPHPLAT
E3078	Apheresis PLATELETS|ACD-A/XX/20-24C|ResLeu:<5log6|Plasma reduced	LRAPHPLAT
E3079	Apheresis PLATELETS|ACD-A/XX/20-24C|ResLeu:<5log6|Plasma reduced|Aphr not automated	LRAPHPLAT
E3080	Apheresis PLATELETS|ACD-A/XX/20-24C|ResLeu:<5log6|Plasma reduced|1st container	LRAPHPLAT
E3081	Apheresis PLATELETS|ACD-A/XX/20-24C|ResLeu:<5log6|Plasma reduced|2nd container	LRAPHPLAT
E3082	Apheresis PLATELETS|ACD-A/XX/20-24C|ResLeu:<5log6|Plasma reduced|3rd container	LRAPHPLAT
E3083	Apheresis PLATELETS|ACD-A/XX/20-24C|ResLeu:<5log6|Plasma reduced|4th container	LRAPHPLAT
E3084	Apheresis PLATELETS|ACD-A/XX/20-24C|ResLeu:<5log6|Plasma reduced|1st container:not auto	LRAPHPLAT
E3085	Apheresis PLATELETS|ACD-A/XX/20-24C|ResLeu:<5log6|Plasma reduced|2nd container:not auto	LRAPHPLAT
E3086	Apheresis PLATELETS|ACD-A/XX/20-24C|ResLeu:<5log6|Aphr not automated	LRAPHPLAT
E3087	Apheresis PLATELETS|ACD-A/XX/20-24C|ResLeu:<5log6|1st container	LRAPHPLAT
E3088	Apheresis PLATELETS|ACD-A/XX/20-24C|ResLeu:<5log6|2nd container	LRAPHPLAT
E3089	Apheresis PLATELETS|ACD-A/XX/20-24C|ResLeu:<5log6|3rd container	LRAPHPLAT
E3090	Apheresis PLATELETS|ACD-A/XX/20-24C|ResLeu:<5log6|4th container	LRAPHPLAT
E3091	Apheresis PLATELETS|ACD-A/XX/20-24C|ResLeu:<5log6|1st container:not auto	LRAPHPLAT
E3092	Apheresis PLATELETS|ACD-A/XX/20-24C|ResLeu:<5log6|2nd container:not auto	LRAPHPLAT
E3093	Apheresis PLATELETS|ACD-A/XX/20-24C|Plasma reduced	APHPLAT
E3094	Apheresis PLATELETS|ACD-A/XX/20-24C|Plasma reduced|Aphr not automated	APHPLAT
E3095	Apheresis PLATELETS|ACD-A/XX/20-24C|Plasma reduced|1st container	APHPLAT
E3096	Apheresis PLATELETS|ACD-A/XX/20-24C|Plasma reduced|2nd container	APHPLAT
E3097	Apheresis PLATELETS|ACD-A/XX/20-24C|Plasma reduced|3rd container	APHPLAT
E3098	Apheresis PLATELETS|ACD-A/XX/20-24C|Plasma reduced|4th container	APHPLAT
E3099	Apheresis PLATELETS|ACD-A/XX/20-24C|Plasma reduced|1st container:not auto	APHPLAT
E3100	Apheresis PLATELETS|ACD-A/XX/20-24C|Plasma reduced|2nd container:not auto	APHPLAT
E3101	Apheresis PLATELETS|ACD-A/XX/20-24C|Aphr not automated	APHPLAT
E3102	Apheresis PLATELETS|ACD-A/XX/20-24C|1st container	APHPLAT
E3103	Apheresis PLATELETS|ACD-A/XX/20-24C|2nd container	APHPLAT
E3104	Apheresis PLATELETS|ACD-A/XX/20-24C|3rd container	APHPLAT
E3105	Apheresis PLATELETS|ACD-A/XX/20-24C|4th container	APHPLAT
E3106	Apheresis PLATELETS|ACD-A/XX/20-24C|1st container:not auto	APHPLAT
E3107	Apheresis PLATELETS|ACD-A/XX/20-24C|2nd container:not auto	APHPLAT
E3108	Apheresis PLATELETS|ACD-B/XX/20-24C	APHPLAT
E3149	Apheresis PLATELETS|ACD-B/XX/20-24C|Open	APHPLAT
E3150	Apheresis PLATELETS|ACD-B/XX/20-24C|Open|Irradiated	IRAPHPLAT
E3151	Apheresis PLATELETS|ACD-B/XX/20-24C|Open|Irradiated|ResLeu:<5log6	IRLRAPHPLAT
E3152	Apheresis PLATELETS|ACD-B/XX/20-24C|Open|Irradiated|ResLeu:<5log6|Plasma reduced	IRLRAPHPLAT
E3153	Apheresis PLATELETS|ACD-B/XX/20-24C|Open|Irradiated|ResLeu:<5log6|Plasma reduced|Aphr not automated	IRLRAPHPLAT
E3154	Apheresis PLATELETS|ACD-B/XX/20-24C|Open|Irradiated|ResLeu:<5log6|Plasma reduced|1st container	IRLRAPHPLAT
E3155	Apheresis PLATELETS|ACD-B/XX/20-24C|Open|Irradiated|ResLeu:<5log6|Plasma reduced|2nd container	IRLRAPHPLAT
E3156	Apheresis PLATELETS|ACD-B/XX/20-24C|Open|Irradiated|ResLeu:<5log6|Plasma reduced|3rd container	IRLRAPHPLAT
E3157	Apheresis PLATELETS|ACD-B/XX/20-24C|Open|Irradiated|ResLeu:<5log6|Plasma reduced|4th container	IRLRAPHPLAT
E3158	Apheresis PLATELETS|ACD-B/XX/20-24C|Open|Irradiated|ResLeu:<5log6|Plasma reduced|1st container:n...	IRLRAPHPLAT
E3159	Apheresis PLATELETS|ACD-B/XX/20-24C|Open|Irradiated|ResLeu:<5log6|Plasma reduced|2nd container:n...	IRLRAPHPLAT
E3160	Apheresis PLATELETS|ACD-B/XX/20-24C|Open|Irradiated|ResLeu:<5log6|Aphr not automated	IRLRAPHPLAT
E3161	Apheresis PLATELETS|ACD-B/XX/20-24C|Open|Irradiated|ResLeu:<5log6|1st container	IRLRAPHPLAT
E3162	Apheresis PLATELETS|ACD-B/XX/20-24C|Open|Irradiated|ResLeu:<5log6|2nd container	IRLRAPHPLAT
E3163	Apheresis PLATELETS|ACD-B/XX/20-24C|Open|Irradiated|ResLeu:<5log6|3rd container	IRLRAPHPLAT
E3164	Apheresis PLATELETS|ACD-B/XX/20-24C|Open|Irradiated|ResLeu:<5log6|4th container	IRLRAPHPLAT
E3165	Apheresis PLATELETS|ACD-B/XX/20-24C|Open|Irradiated|ResLeu:<5log6|1st container:not auto	IRLRAPHPLAT
E3166	Apheresis PLATELETS|ACD-B/XX/20-24C|Open|Irradiated|ResLeu:<5log6|2nd container:not auto	IRLRAPHPLAT
E3167	Apheresis PLATELETS|ACD-B/XX/20-24C|Open|Irradiated|Plasma reduced	IRAPHPLAT
E3168	Apheresis PLATELETS|ACD-B/XX/20-24C|Open|Irradiated|Plasma reduced|Aphr not automated	IRAPHPLAT
E3169	Apheresis PLATELETS|ACD-B/XX/20-24C|Open|Irradiated|Plasma reduced|1st container	IRAPHPLAT
E3170	Apheresis PLATELETS|ACD-B/XX/20-24C|Open|Irradiated|Plasma reduced|2nd container	IRAPHPLAT
E3171	Apheresis PLATELETS|ACD-B/XX/20-24C|Open|Irradiated|Plasma reduced|3rd container	IRAPHPLAT
E3172	Apheresis PLATELETS|ACD-B/XX/20-24C|Open|Irradiated|Plasma reduced|4th container	IRAPHPLAT
E3173	Apheresis PLATELETS|ACD-B/XX/20-24C|Open|Irradiated|Plasma reduced|1st container:not auto	IRAPHPLAT
E3174	Apheresis PLATELETS|ACD-B/XX/20-24C|Open|Irradiated|Plasma reduced|2nd container:not auto	IRAPHPLAT
E3175	Apheresis PLATELETS|ACD-B/XX/20-24C|Open|Irradiated|Aphr not automated	IRAPHPLAT
E3176	Apheresis PLATELETS|ACD-B/XX/20-24C|Open|Irradiated|1st container	IRAPHPLAT
E3177	Apheresis PLATELETS|ACD-B/XX/20-24C|Open|Irradiated|2nd container	IRAPHPLAT
E3178	Apheresis PLATELETS|ACD-B/XX/20-24C|Open|Irradiated|3rd container	IRAPHPLAT
E3179	Apheresis PLATELETS|ACD-B/XX/20-24C|Open|Irradiated|4th container	IRAPHPLAT
E3180	Apheresis PLATELETS|ACD-B/XX/20-24C|Open|Irradiated|1st container:not auto	IRAPHPLAT
E3181	Apheresis PLATELETS|ACD-B/XX/20-24C|Open|Irradiated|2nd container:not auto	IRAPHPLAT
E3182	Apheresis PLATELETS|ACD-B/XX/20-24C|Open|ResLeu:<5log6	LRAPHPLAT
E3183	Apheresis PLATELETS|ACD-B/XX/20-24C|Open|ResLeu:<5log6|Plasma reduced	LRAPHPLAT
E3184	Apheresis PLATELETS|ACD-B/XX/20-24C|Open|ResLeu:<5log6|Plasma reduced|Aphr not automated	LRAPHPLAT
E3185	Apheresis PLATELETS|ACD-B/XX/20-24C|Open|ResLeu:<5log6|Plasma reduced|1st container	LRAPHPLAT
E3186	Apheresis PLATELETS|ACD-B/XX/20-24C|Open|ResLeu:<5log6|Plasma reduced|2nd container	LRAPHPLAT
E3187	Apheresis PLATELETS|ACD-B/XX/20-24C|Open|ResLeu:<5log6|Plasma reduced|3rd container	LRAPHPLAT
E3188	Apheresis PLATELETS|ACD-B/XX/20-24C|Open|ResLeu:<5log6|Plasma reduced|4th container	LRAPHPLAT
E3189	Apheresis PLATELETS|ACD-B/XX/20-24C|Open|ResLeu:<5log6|Plasma reduced|1st container:not auto	LRAPHPLAT
E3190	Apheresis PLATELETS|ACD-B/XX/20-24C|Open|ResLeu:<5log6|Plasma reduced|2nd container:not auto	LRAPHPLAT
E3191	Apheresis PLATELETS|ACD-B/XX/20-24C|Open|ResLeu:<5log6|Aphr not automated	LRAPHPLAT
E3192	Apheresis PLATELETS|ACD-B/XX/20-24C|Open|ResLeu:<5log6|1st container	LRAPHPLAT
E3193	Apheresis PLATELETS|ACD-B/XX/20-24C|Open|ResLeu:<5log6|2nd container	LRAPHPLAT
E3194	Apheresis PLATELETS|ACD-B/XX/20-24C|Open|ResLeu:<5log6|3rd container	LRAPHPLAT
E3195	Apheresis PLATELETS|ACD-B/XX/20-24C|Open|ResLeu:<5log6|4th container	LRAPHPLAT
E3196	Apheresis PLATELETS|ACD-B/XX/20-24C|Open|ResLeu:<5log6|1st container:not auto	LRAPHPLAT
E3197	Apheresis PLATELETS|ACD-B/XX/20-24C|Open|ResLeu:<5log6|2nd container:not auto	LRAPHPLAT
E3198	Apheresis PLATELETS|ACD-B/XX/20-24C|Open|Plasma reduced	APHPLAT
E3199	Apheresis PLATELETS|ACD-B/XX/20-24C|Open|Plasma reduced|Aphr not automated	APHPLAT
E3200	Apheresis PLATELETS|ACD-B/XX/20-24C|Open|Plasma reduced|1st container	APHPLAT
E3201	Apheresis PLATELETS|ACD-B/XX/20-24C|Open|Plasma reduced|2nd container	APHPLAT
E3202	Apheresis PLATELETS|ACD-B/XX/20-24C|Open|Plasma reduced|3rd container	APHPLAT
E3203	Apheresis PLATELETS|ACD-B/XX/20-24C|Open|Plasma reduced|4th container	APHPLAT
E3204	Apheresis PLATELETS|ACD-B/XX/20-24C|Open|Plasma reduced|1st container:not auto	APHPLAT
E3205	Apheresis PLATELETS|ACD-B/XX/20-24C|Open|Plasma reduced|2nd container:not auto	APHPLAT
E3206	Apheresis PLATELETS|ACD-B/XX/20-24C|Open|Aphr not automated	APHPLAT
E3207	Apheresis PLATELETS|ACD-B/XX/20-24C|Open|1st container	APHPLAT
E3208	Apheresis PLATELETS|ACD-B/XX/20-24C|Open|2nd container	APHPLAT
E3209	Apheresis PLATELETS|ACD-B/XX/20-24C|Open|3rd container	APHPLAT
E3210	Apheresis PLATELETS|ACD-B/XX/20-24C|Open|4th container	APHPLAT
E3211	Apheresis PLATELETS|ACD-B/XX/20-24C|Open|1st container:not auto	APHPLAT
E3212	Apheresis PLATELETS|ACD-B/XX/20-24C|Open|2nd container:not auto	APHPLAT
E3213	Apheresis PLATELETS|ACD-B/XX/20-24C|Irradiated	IRAPHPLAT
E3214	Apheresis PLATELETS|ACD-B/XX/20-24C|Irradiated|ResLeu:<5log6	IRLRAPHPLAT
E3215	Apheresis PLATELETS|ACD-B/XX/20-24C|Irradiated|ResLeu:<5log6|Plasma reduced	IRLRAPHPLAT
E3216	Apheresis PLATELETS|ACD-B/XX/20-24C|Irradiated|ResLeu:<5log6|Plasma reduced|Aphr not automated	IRLRAPHPLAT
E3217	Apheresis PLATELETS|ACD-B/XX/20-24C|Irradiated|ResLeu:<5log6|Plasma reduced|1st container	IRLRAPHPLAT
E3218	Apheresis PLATELETS|ACD-B/XX/20-24C|Irradiated|ResLeu:<5log6|Plasma reduced|2nd container	IRLRAPHPLAT
E3219	Apheresis PLATELETS|ACD-B/XX/20-24C|Irradiated|ResLeu:<5log6|Plasma reduced|3rd container	IRLRAPHPLAT
E3220	Apheresis PLATELETS|ACD-B/XX/20-24C|Irradiated|ResLeu:<5log6|Plasma reduced|4th container	IRLRAPHPLAT
E3221	Apheresis PLATELETS|ACD-B/XX/20-24C|Irradiated|ResLeu:<5log6|Plasma reduced|1st container:not auto	IRLRAPHPLAT
E3222	Apheresis PLATELETS|ACD-B/XX/20-24C|Irradiated|ResLeu:<5log6|Plasma reduced|2nd container:not auto	IRLRAPHPLAT
E3223	Apheresis PLATELETS|ACD-B/XX/20-24C|Irradiated|ResLeu:<5log6|Aphr not automated	IRLRAPHPLAT
E3224	Apheresis PLATELETS|ACD-B/XX/20-24C|Irradiated|ResLeu:<5log6|1st container	IRLRAPHPLAT
E3225	Apheresis PLATELETS|ACD-B/XX/20-24C|Irradiated|ResLeu:<5log6|2nd container	IRLRAPHPLAT
E3226	Apheresis PLATELETS|ACD-B/XX/20-24C|Irradiated|ResLeu:<5log6|3rd container	IRLRAPHPLAT
E3227	Apheresis PLATELETS|ACD-B/XX/20-24C|Irradiated|ResLeu:<5log6|4th container	IRLRAPHPLAT
E3228	Apheresis PLATELETS|ACD-B/XX/20-24C|Irradiated|ResLeu:<5log6|1st container:not auto	IRLRAPHPLAT
E3229	Apheresis PLATELETS|ACD-B/XX/20-24C|Irradiated|ResLeu:<5log6|2nd container:not auto	IRLRAPHPLAT
E3230	Apheresis PLATELETS|ACD-B/XX/20-24C|Irradiated|Plasma reduced	IRAPHPLAT
E3231	Apheresis PLATELETS|ACD-B/XX/20-24C|Irradiated|Plasma reduced|Aphr not automated	IRAPHPLAT
E3232	Apheresis PLATELETS|ACD-B/XX/20-24C|Irradiated|Plasma reduced|1st container	IRAPHPLAT
E3233	Apheresis PLATELETS|ACD-B/XX/20-24C|Irradiated|Plasma reduced|2nd container	IRAPHPLAT
E3234	Apheresis PLATELETS|ACD-B/XX/20-24C|Irradiated|Plasma reduced|3rd container	IRAPHPLAT
E3235	Apheresis PLATELETS|ACD-B/XX/20-24C|Irradiated|Plasma reduced|4th container	IRAPHPLAT
E3236	Apheresis PLATELETS|ACD-B/XX/20-24C|Irradiated|Plasma reduced|1st container:not auto	IRAPHPLAT
E3237	Apheresis PLATELETS|ACD-B/XX/20-24C|Irradiated|Plasma reduced|2nd container:not auto	IRAPHPLAT
E3238	Apheresis PLATELETS|ACD-B/XX/20-24C|Irradiated|Aphr not automated	IRAPHPLAT
E3239	Apheresis PLATELETS|ACD-B/XX/20-24C|Irradiated|1st container	IRAPHPLAT
E3240	Apheresis PLATELETS|ACD-B/XX/20-24C|Irradiated|2nd container	IRAPHPLAT
E3241	Apheresis PLATELETS|ACD-B/XX/20-24C|Irradiated|3rd container	IRAPHPLAT
E3242	Apheresis PLATELETS|ACD-B/XX/20-24C|Irradiated|4th container	IRAPHPLAT
E3243	Apheresis PLATELETS|ACD-B/XX/20-24C|Irradiated|1st container:not auto	IRAPHPLAT
E3244	Apheresis PLATELETS|ACD-B/XX/20-24C|Irradiated|2nd container:not auto	IRAPHPLAT
E3245	Apheresis PLATELETS|ACD-B/XX/20-24C|ResLeu:<5log6	LRAPHPLAT
E3246	Apheresis PLATELETS|ACD-B/XX/20-24C|ResLeu:<5log6|Plasma reduced	LRAPHPLAT
E3247	Apheresis PLATELETS|ACD-B/XX/20-24C|ResLeu:<5log6|Plasma reduced|Aphr not automated	LRAPHPLAT
E3248	Apheresis PLATELETS|ACD-B/XX/20-24C|ResLeu:<5log6|Plasma reduced|1st container	LRAPHPLAT
E3249	Apheresis PLATELETS|ACD-B/XX/20-24C|ResLeu:<5log6|Plasma reduced|2nd container	LRAPHPLAT
E3250	Apheresis PLATELETS|ACD-B/XX/20-24C|ResLeu:<5log6|Plasma reduced|3rd container	LRAPHPLAT
E3251	Apheresis PLATELETS|ACD-B/XX/20-24C|ResLeu:<5log6|Plasma reduced|4th container	LRAPHPLAT
E3252	Apheresis PLATELETS|ACD-B/XX/20-24C|ResLeu:<5log6|Plasma reduced|1st container:not auto	LRAPHPLAT
E3253	Apheresis PLATELETS|ACD-B/XX/20-24C|ResLeu:<5log6|Plasma reduced|2nd container:not auto	LRAPHPLAT
E3254	Apheresis PLATELETS|ACD-B/XX/20-24C|ResLeu:<5log6|Aphr not automated	LRAPHPLAT
E3255	Apheresis PLATELETS|ACD-B/XX/20-24C|ResLeu:<5log6|1st container	LRAPHPLAT
E3256	Apheresis PLATELETS|ACD-B/XX/20-24C|ResLeu:<5log6|2nd container	LRAPHPLAT
E3257	Apheresis PLATELETS|ACD-B/XX/20-24C|ResLeu:<5log6|3rd container	LRAPHPLAT
E3258	Apheresis PLATELETS|ACD-B/XX/20-24C|ResLeu:<5log6|4th container	LRAPHPLAT
E3259	Apheresis PLATELETS|ACD-B/XX/20-24C|ResLeu:<5log6|1st container:not auto	LRAPHPLAT
E3260	Apheresis PLATELETS|ACD-B/XX/20-24C|ResLeu:<5log6|2nd container:not auto	LRAPHPLAT
E3261	Apheresis PLATELETS|ACD-B/XX/20-24C|Plasma reduced	APHPLAT
E3262	Apheresis PLATELETS|ACD-B/XX/20-24C|Plasma reduced|Aphr not automated	APHPLAT
E3263	Apheresis PLATELETS|ACD-B/XX/20-24C|Plasma reduced|1st container	APHPLAT
E3264	Apheresis PLATELETS|ACD-B/XX/20-24C|Plasma reduced|2nd container	APHPLAT
E3265	Apheresis PLATELETS|ACD-B/XX/20-24C|Plasma reduced|3rd container	APHPLAT
E3266	Apheresis PLATELETS|ACD-B/XX/20-24C|Plasma reduced|4th container	APHPLAT
E3267	Apheresis PLATELETS|ACD-B/XX/20-24C|Plasma reduced|1st container:not auto	APHPLAT
E3268	Apheresis PLATELETS|ACD-B/XX/20-24C|Plasma reduced|2nd container:not auto	APHPLAT
E3269	Apheresis PLATELETS|ACD-B/XX/20-24C|Aphr not automated	APHPLAT
E3270	Apheresis PLATELETS|ACD-B/XX/20-24C|1st container	APHPLAT
E3271	Apheresis PLATELETS|ACD-B/XX/20-24C|2nd container	APHPLAT
E3272	Apheresis PLATELETS|ACD-B/XX/20-24C|3rd container	APHPLAT
E3273	Apheresis PLATELETS|ACD-B/XX/20-24C|4th container	APHPLAT
E3274	Apheresis PLATELETS|ACD-B/XX/20-24C|1st container:not auto	APHPLAT
E3275	Apheresis PLATELETS|ACD-B/XX/20-24C|2nd container:not auto	APHPLAT
E3457	Frozen Apheresis PLATELETS|DMSO/XX/<-65C|Open	APHPLAT
E3458	Frozen Apheresis PLATELETS|DMSO/XX/<-65C|Open|Aphr not automated	APHPLAT
E3459	Frozen Apheresis PLATELETS|DMSO/XX/<-65C|Open|1st container	APHPLAT
E3460	Frozen Apheresis PLATELETS|DMSO/XX/<-65C|Open|2nd container	APHPLAT
E3461	Frozen Apheresis PLATELETS|DMSO/XX/<-65C|Open|3rd container	APHPLAT
E3462	Frozen Apheresis PLATELETS|DMSO/XX/<-65C|Open|4th container	APHPLAT
E3463	Frozen Apheresis PLATELETS|DMSO/XX/<-65C|Open|1st container:not auto	APHPLAT
E3464	Frozen Apheresis PLATELETS|DMSO/XX/<-65C|Open|2nd container:not auto	APHPLAT
E3467	Thawed Apheresis PLATELETS|DMSO/XX/20-24C|Open	APHPLAT
E3468	Thawed Apheresis PLATELETS|DMSO/XX/20-24C|Open|Irradiated	IRAPHPLAT
E3469	Thawed Apheresis PLATELETS|DMSO/XX/20-24C|Open|Irradiated|ResLeu:<5log6	IRLRAPHPLAT
E3470	Thawed Apheresis PLATELETS|DMSO/XX/20-24C|Open|Irradiated|ResLeu:<5log6|Plasma added	IRLRAPHPLAT
E3471	Thawed Apheresis PLATELETS|DMSO/XX/20-24C|Open|Irradiated|ResLeu:<5log6|Plasma added|Aphr not au...	IRLRAPHPLAT
E3472	Thawed Apheresis PLATELETS|DMSO/XX/20-24C|Open|Irradiated|ResLeu:<5log6|Plasma added|1st container	IRLRAPHPLAT
E3473	Thawed Apheresis PLATELETS|DMSO/XX/20-24C|Open|Irradiated|ResLeu:<5log6|Plasma added|2nd container	IRLRAPHPLAT
E3474	Thawed Apheresis PLATELETS|DMSO/XX/20-24C|Open|Irradiated|ResLeu:<5log6|Plasma added|3rd container	IRLRAPHPLAT
E3475	Thawed Apheresis PLATELETS|DMSO/XX/20-24C|Open|Irradiated|ResLeu:<5log6|Plasma added|4th container	IRLRAPHPLAT
E3476	Thawed Apheresis PLATELETS|DMSO/XX/20-24C|Open|Irradiated|ResLeu:<5log6|Plasma added|1st contain...	IRLRAPHPLAT
E3477	Thawed Apheresis PLATELETS|DMSO/XX/20-24C|Open|Irradiated|ResLeu:<5log6|Plasma added|2nd contain...	IRLRAPHPLAT
E3478	Thawed Apheresis PLATELETS|DMSO/XX/20-24C|Open|Irradiated|ResLeu:<5log6|Aphr not automated	IRLRAPHPLAT
E3479	Thawed Apheresis PLATELETS|DMSO/XX/20-24C|Open|Irradiated|ResLeu:<5log6|1st container	IRLRAPHPLAT
E3480	Thawed Apheresis PLATELETS|DMSO/XX/20-24C|Open|Irradiated|ResLeu:<5log6|2nd container	IRLRAPHPLAT
E3481	Thawed Apheresis PLATELETS|DMSO/XX/20-24C|Open|Irradiated|ResLeu:<5log6|3rd container	IRLRAPHPLAT
E3482	Thawed Apheresis PLATELETS|DMSO/XX/20-24C|Open|Irradiated|ResLeu:<5log6|4th container	IRLRAPHPLAT
E3483	Thawed Apheresis PLATELETS|DMSO/XX/20-24C|Open|Irradiated|ResLeu:<5log6|1st container:not auto	IRLRAPHPLAT
E3484	Thawed Apheresis PLATELETS|DMSO/XX/20-24C|Open|Irradiated|ResLeu:<5log6|2nd container:not auto	IRLRAPHPLAT
