ISBT	Description	prodCDC
E0119	WHOLE BLOOD|CP2D/500mL/refg|Open|ResLeu:<5log6	WB
E0120	WHOLE BLOOD|CP2D/500mL/refg|Irradiated	WB
E0121	WHOLE BLOOD|CP2D/500mL/refg|Irradiated|ResLeu:<5log6	WB
E0122	WHOLE BLOOD|CP2D/500mL/refg|ResLeu:<5log6	WB
E0123	WHOLE BLOOD|CP2D/500mL/refg|Cryo reduced	WB
E0124	WHOLE BLOOD|CP2D/500mL/refg|Plts reduced	WB
E0125	WHOLE BLOOD|CP2D/500mL/refg|Plts/Cryo reduced	WB
E0126	WHOLE BLOOD|CP2D/XX/refg	WB
E0130	WHOLE BLOOD|CP2D/XX/refg|LowVol:anticoag not adj	WB
E0135	WHOLE BLOOD|Heparin/450mL/refg	WB
E0137	WHOLE BLOOD|Heparin/500mL/refg	WB
E0150	RED BLOOD CELLS|CPD/450mL/refg	WBDRBC
E0154	RED BLOOD CELLS|CPD/450mL/refg|Open	WBDRBC
E0155	RED BLOOD CELLS|CPD/450mL/refg|Open|Irradiated	IRWBDRBC
E0156	RED BLOOD CELLS|CPD/450mL/refg|Open|Irradiated|ResLeu:<5log6	IRLRWBDRBC
E0157	RED BLOOD CELLS|CPD/450mL/refg|Open|Irradiated|Plasma added	IRWBDRBC
E0158	RED BLOOD CELLS|CPD/450mL/refg|Open|ResLeu:<5log6	LRWBDRBC
E0159	RED BLOOD CELLS|CPD/450mL/refg|Open|Albumin added	WBDRBC
E0160	RED BLOOD CELLS|CPD/450mL/refg|Open|Plasma added	WBDRBC
E0161	RED BLOOD CELLS|CPD/450mL/refg|Irradiated	IRWBDRBC
E0162	RED BLOOD CELLS|CPD/450mL/refg|Irradiated|ResLeu:<5log6	IRLRWBDRBC
E0163	RED BLOOD CELLS|CPD/450mL/refg|Irradiated|Plasma added	IRWBDRBC
E0164	RED BLOOD CELLS|CPD/450mL/refg|ResLeu:<5log6	LRWBDRBC
E0166	RED BLOOD CELLS|CPD/450mL/refg|Plasma added	WBDRBC
E0167	RED BLOOD CELLS|CPD/500mL/refg	WBDRBC
E0171	RED BLOOD CELLS|CPD/500mL/refg|Open	WBDRBC
E0172	RED BLOOD CELLS|CPD/500mL/refg|Open|Irradiated	IRWBDRBC
E0173	RED BLOOD CELLS|CPD/500mL/refg|Open|Irradiated|ResLeu:<5log6	IRLRWBDRBC
E0174	RED BLOOD CELLS|CPD/500mL/refg|Open|Irradiated|Plasma added	IRWBDRBC
E0175	RED BLOOD CELLS|CPD/500mL/refg|Open|ResLeu:<5log6	LRWBDRBC
E0176	RED BLOOD CELLS|CPD/500mL/refg|Open|Albumin added	WBDRBC
E0177	RED BLOOD CELLS|CPD/500mL/refg|Open|Plasma added	WBDRBC
E0178	RED BLOOD CELLS|CPD/500mL/refg|Irradiated	IRWBDRBC
E0179	RED BLOOD CELLS|CPD/500mL/refg|Irradiated|ResLeu:<5log6	IRLRWBDRBC
E0180	RED BLOOD CELLS|CPD/500mL/refg|Irradiated|Plasma added	IRWBDRBC
E0181	RED BLOOD CELLS|CPD/500mL/refg|ResLeu:<5log6	LRWBDRBC
E0183	RED BLOOD CELLS|CPD/500mL/refg|Plasma added	WBDRBC
E0184	RED BLOOD CELLS|CPD/250mL/refg	WBDRBC
E0188	RED BLOOD CELLS|CPD/250mL/refg|Irradiated	IRWBDRBC
E0189	RED BLOOD CELLS|CPD/250mL/refg|Irradiated|ResLeu:<5log6	IRLRWBDRBC
E0190	RED BLOOD CELLS|CPD/250mL/refg|ResLeu:<5log6	LRWBDRBC
E0191	RED BLOOD CELLS|CPD/XX/refg	WBDRBC
E0195	RED BLOOD CELLS|CPDA-1/450mL/refg	WBDRBC
E0199	RED BLOOD CELLS|CPDA-1/450mL/refg|Open	WBDRBC
E0200	RED BLOOD CELLS|CPDA-1/450mL/refg|Open|Irradiated	IRWBDRBC
E0201	RED BLOOD CELLS|CPDA-1/450mL/refg|Open|Irradiated|ResLeu:<5log6	IRLRWBDRBC
E0202	RED BLOOD CELLS|CPDA-1/450mL/refg|Open|Irradiated|Plasma added	IRWBDRBC
E0203	RED BLOOD CELLS|CPDA-1/450mL/refg|Open|ResLeu:<5log6	LRWBDRBC
E0204	RED BLOOD CELLS|CPDA-1/450mL/refg|Open|Albumin added	WBDRBC
E0205	RED BLOOD CELLS|CPDA-1/450mL/refg|Open|Plasma added	WBDRBC
E0206	RED BLOOD CELLS|CPDA-1/450mL/refg|Irradiated	IRWBDRBC
E0207	RED BLOOD CELLS|CPDA-1/450mL/refg|Irradiated|ResLeu:<5log6	IRLRWBDRBC
E0208	RED BLOOD CELLS|CPDA-1/450mL/refg|Irradiated|Plasma added	IRWBDRBC
E0209	RED BLOOD CELLS|CPDA-1/450mL/refg|ResLeu:<5log6	LRWBDRBC
E0211	RED BLOOD CELLS|CPDA-1/450mL/refg|Plasma added	WBDRBC
E0212	RED BLOOD CELLS|CPDA-1/500mL/refg	WBDRBC
E0216	RED BLOOD CELLS|CPDA-1/500mL/refg|Open	WBDRBC
E0217	RED BLOOD CELLS|CPDA-1/500mL/refg|Open|Irradiated	IRWBDRBC
E0218	RED BLOOD CELLS|CPDA-1/500mL/refg|Open|Irradiated|ResLeu:<5log6	IRLRWBDRBC
E0219	RED BLOOD CELLS|CPDA-1/500mL/refg|Open|Irradiated|Plasma added	IRWBDRBC
E0220	RED BLOOD CELLS|CPDA-1/500mL/refg|Open|ResLeu:<5log6	LRWBDRBC
E0221	RED BLOOD CELLS|CPDA-1/500mL/refg|Open|Albumin added	WBDRBC
E0222	RED BLOOD CELLS|CPDA-1/500mL/refg|Open|Plasma added	WBDRBC
E0223	RED BLOOD CELLS|CPDA-1/500mL/refg|Irradiated	IRWBDRBC
E0224	RED BLOOD CELLS|CPDA-1/500mL/refg|Irradiated|ResLeu:<5log6	IRLRWBDRBC
E0225	RED BLOOD CELLS|CPDA-1/500mL/refg|Irradiated|Plasma added	IRWBDRBC
E0226	RED BLOOD CELLS|CPDA-1/500mL/refg|ResLeu:<5log6	LRWBDRBC
E0228	RED BLOOD CELLS|CPDA-1/500mL/refg|Plasma added	WBDRBC
E0229	RED BLOOD CELLS|CPDA-1/250mL/refg	WBDRBC
E0233	RED BLOOD CELLS|CPDA-1/250mL/refg|Open	WBDRBC
E0234	RED BLOOD CELLS|CPDA-1/250mL/refg|Open|Irradiated	IRWBDRBC
E0235	RED BLOOD CELLS|CPDA-1/250mL/refg|Open|Irradiated|ResLeu:<5log6	IRLRWBDRBC
E0236	RED BLOOD CELLS|CPDA-1/250mL/refg|Open|ResLeu:<5log6	LRWBDRBC
E0237	RED BLOOD CELLS|CPDA-1/250mL/refg|Irradiated	IRWBDRBC
E0238	RED BLOOD CELLS|CPDA-1/250mL/refg|Irradiated|ResLeu:<5log6	IRLRWBDRBC
E0239	RED BLOOD CELLS|CPDA-1/250mL/refg|ResLeu:<5log6	LRWBDRBC
E0240	RED BLOOD CELLS|CPDA-1/XX/refg	WBDRBC
E0244	RED BLOOD CELLS|CPDA-1/XX/refg|LowVol:anticoag not adj	WBDRBC
E0245	RED BLOOD CELLS|CP2D/450mL/refg	WBDRBC
E0249	RED BLOOD CELLS|CP2D/450mL/refg|Open	WBDRBC
E0250	RED BLOOD CELLS|CP2D/450mL/refg|Open|Irradiated	IRWBDRBC
E0251	RED BLOOD CELLS|CP2D/450mL/refg|Open|Irradiated|ResLeu:<5log6	IRLRWBDRBC
E0252	RED BLOOD CELLS|CP2D/450mL/refg|Open|Irradiated|Plasma added	IRWBDRBC
E0253	RED BLOOD CELLS|CP2D/450mL/refg|Open|ResLeu:<5log6	LRWBDRBC
E0254	RED BLOOD CELLS|CP2D/450mL/refg|Open|Albumin added	WBDRBC
E0255	RED BLOOD CELLS|CP2D/450mL/refg|Open|Plasma added	WBDRBC
E0256	RED BLOOD CELLS|CP2D/450mL/refg|Irradiated	IRWBDRBC
E0257	RED BLOOD CELLS|CP2D/450mL/refg|Irradiated|ResLeu:<5log6	IRLRWBDRBC
E0258	RED BLOOD CELLS|CP2D/450mL/refg|Irradiated|Plasma added	IRWBDRBC
E0259	RED BLOOD CELLS|CP2D/450mL/refg|ResLeu:<5log6	LRWBDRBC
E0261	RED BLOOD CELLS|CP2D/450mL/refg|Plasma added	WBDRBC
E0262	RED BLOOD CELLS|CP2D/500mL/refg	WBDRBC
E0266	RED BLOOD CELLS|CP2D/500mL/refg|Open	WBDRBC
E0267	RED BLOOD CELLS|CP2D/500mL/refg|Open|Irradiated	IRWBDRBC
E0268	RED BLOOD CELLS|CP2D/500mL/refg|Open|Irradiated|ResLeu:<5log6	IRLRWBDRBC
E0269	RED BLOOD CELLS|CP2D/500mL/refg|Open|Irradiated|Plasma added	IRWBDRBC
E0270	RED BLOOD CELLS|CP2D/500mL/refg|Open|ResLeu:<5log6	LRWBDRBC
E0271	RED BLOOD CELLS|CP2D/500mL/refg|Open|Albumin added	WBDRBC
E0272	RED BLOOD CELLS|CP2D/500mL/refg|Open|Plasma added	WBDRBC
E0273	RED BLOOD CELLS|CP2D/500mL/refg|Irradiated	IRWBDRBC
E0274	RED BLOOD CELLS|CP2D/500mL/refg|Irradiated|ResLeu:<5log6	IRLRWBDRBC
E0275	RED BLOOD CELLS|CP2D/500mL/refg|Irradiated|Plasma added	IRWBDRBC
E0276	RED BLOOD CELLS|CP2D/500mL/refg|ResLeu:<5log6	LRWBDRBC
E0278	RED BLOOD CELLS|CP2D/500mL/refg|Plasma added	WBDRBC
E0279	RED BLOOD CELLS|CP2D/XX/refg	WBDRBC
E0283	RED BLOOD CELLS|CP2D/XX/refg|LowVol:anticoag not adj	WBDRBC
E0291	RED BLOOD CELLS|CPD>AS1/450mL/refg	WBDRBC
E0295	RED BLOOD CELLS|CPD>AS1/450mL/refg|Open	WBDRBC
E0296	RED BLOOD CELLS|CPD>AS1/450mL/refg|Open|Irradiated	IRWBDRBC
E0297	RED BLOOD CELLS|CPD>AS1/450mL/refg|Open|Irradiated|ResLeu:<5log6	IRLRWBDRBC
E0298	RED BLOOD CELLS|CPD>AS1/450mL/refg|Open|Irradiated|Plasma added	IRWBDRBC
E0299	RED BLOOD CELLS|CPD>AS1/450mL/refg|Open|Irradiated|Supernat rem	IRWBDRBC
E0300	RED BLOOD CELLS|CPD>AS1/450mL/refg|Open|Irradiated|Supernat rem/Plasma added	IRWBDRBC
E0301	RED BLOOD CELLS|CPD>AS1/450mL/refg|Open|ResLeu:<5log6	LRWBDRBC
E0302	RED BLOOD CELLS|CPD>AS1/450mL/refg|Open|Albumin added	WBDRBC
E0303	RED BLOOD CELLS|CPD>AS1/450mL/refg|Open|Plasma added	WBDRBC
E0304	RED BLOOD CELLS|CPD>AS1/450mL/refg|Open|Supernat rem	WBDRBC
E0305	RED BLOOD CELLS|CPD>AS1/450mL/refg|Open|Supernat rem/Plasma added	WBDRBC
E0306	RED BLOOD CELLS|CPD>AS1/450mL/refg|Irradiated	IRWBDRBC
E0307	RED BLOOD CELLS|CPD>AS1/450mL/refg|Irradiated|ResLeu:<5log6	IRLRWBDRBC
E0308	RED BLOOD CELLS|CPD>AS1/450mL/refg|Irradiated|Plasma added	IRWBDRBC
E0309	RED BLOOD CELLS|CPD>AS1/450mL/refg|Irradiated|Supernat rem	IRWBDRBC
E0310	RED BLOOD CELLS|CPD>AS1/450mL/refg|Irradiated|Supernat rem/Plasma added	IRWBDRBC
E0311	RED BLOOD CELLS|CPD>AS1/450mL/refg|ResLeu:<5log6	LRWBDRBC
E0313	RED BLOOD CELLS|CPD>AS1/450mL/refg|Plasma added	WBDRBC
E0314	RED BLOOD CELLS|CPD>AS1/450mL/refg|Supernat rem	WBDRBC
E0315	RED BLOOD CELLS|CPD>AS1/450mL/refg|Supernat rem/Plasma added	WBDRBC
E0316	RED BLOOD CELLS|CPD>AS1/500mL/refg	WBDRBC
E0320	RED BLOOD CELLS|CPD>AS1/500mL/refg|Open	WBDRBC
E0321	RED BLOOD CELLS|CPD>AS1/500mL/refg|Open|Irradiated	IRWBDRBC
E0322	RED BLOOD CELLS|CPD>AS1/500mL/refg|Open|Irradiated|ResLeu:<5log6	IRLRWBDRBC
E0323	RED BLOOD CELLS|CPD>AS1/500mL/refg|Open|Irradiated|Plasma added	IRWBDRBC
E0324	RED BLOOD CELLS|CPD>AS1/500mL/refg|Open|Irradiated|Supernat rem	IRWBDRBC
E0325	RED BLOOD CELLS|CPD>AS1/500mL/refg|Open|Irradiated|Supernat rem/Plasma added	IRWBDRBC
E0326	RED BLOOD CELLS|CPD>AS1/500mL/refg|Open|ResLeu:<5log6	LRWBDRBC
E0327	RED BLOOD CELLS|CPD>AS1/500mL/refg|Open|Albumin added	WBDRBC
E0328	RED BLOOD CELLS|CPD>AS1/500mL/refg|Open|Plasma added	WBDRBC
E0329	RED BLOOD CELLS|CPD>AS1/500mL/refg|Open|Supernat rem	WBDRBC
E0330	RED BLOOD CELLS|CPD>AS1/500mL/refg|Open|Supernat rem/Plasma added	WBDRBC
E0331	RED BLOOD CELLS|CPD>AS1/500mL/refg|Irradiated	IRWBDRBC
E0332	RED BLOOD CELLS|CPD>AS1/500mL/refg|Irradiated|ResLeu:<5log6	IRLRWBDRBC
E0333	RED BLOOD CELLS|CPD>AS1/500mL/refg|Irradiated|Plasma added	IRWBDRBC
E0334	RED BLOOD CELLS|CPD>AS1/500mL/refg|Irradiated|Supernat rem	IRWBDRBC
E0335	RED BLOOD CELLS|CPD>AS1/500mL/refg|Irradiated|Supernat rem/Plasma added	IRWBDRBC
E0336	RED BLOOD CELLS|CPD>AS1/500mL/refg|ResLeu:<5log6	LRWBDRBC
E0338	RED BLOOD CELLS|CPD>AS1/500mL/refg|Plasma added	WBDRBC
E0339	RED BLOOD CELLS|CPD>AS1/500mL/refg|Supernat rem	WBDRBC
E0340	RED BLOOD CELLS|CPD>AS1/500mL/refg|Supernat rem/Plasma added	WBDRBC
E0341	RED BLOOD CELLS|CP2D>AS3/450mL/refg	WBDRBC
E0345	RED BLOOD CELLS|CP2D>AS3/450mL/refg|Open	WBDRBC
E0346	RED BLOOD CELLS|CP2D>AS3/450mL/refg|Open|Irradiated	IRWBDRBC
E0347	RED BLOOD CELLS|CP2D>AS3/450mL/refg|Open|Irradiated|ResLeu:<5log6	IRLRWBDRBC
E0348	RED BLOOD CELLS|CP2D>AS3/450mL/refg|Open|Irradiated|Plasma added	IRWBDRBC
E0349	RED BLOOD CELLS|CP2D>AS3/450mL/refg|Open|Irradiated|Supernat rem	IRWBDRBC
E0350	RED BLOOD CELLS|CP2D>AS3/450mL/refg|Open|Irradiated|Supernat rem/Plasma added	IRWBDRBC
E0351	RED BLOOD CELLS|CP2D>AS3/450mL/refg|Open|ResLeu:<5log6	LRWBDRBC
E0352	RED BLOOD CELLS|CP2D>AS3/450mL/refg|Open|Albumin added	WBDRBC
E0353	RED BLOOD CELLS|CP2D>AS3/450mL/refg|Open|Plasma added	WBDRBC
E0354	RED BLOOD CELLS|CP2D>AS3/450mL/refg|Open|Supernat rem	WBDRBC
E0355	RED BLOOD CELLS|CP2D>AS3/450mL/refg|Open|Supernat rem/Plasma added	WBDRBC
E0356	RED BLOOD CELLS|CP2D>AS3/450mL/refg|Irradiated	IRWBDRBC
E0357	RED BLOOD CELLS|CP2D>AS3/450mL/refg|Irradiated|ResLeu:<5log6	IRLRWBDRBC
E0358	RED BLOOD CELLS|CP2D>AS3/450mL/refg|Irradiated|Plasma added	IRWBDRBC
E0359	RED BLOOD CELLS|CP2D>AS3/450mL/refg|Irradiated|Supernat rem	IRWBDRBC
E0360	RED BLOOD CELLS|CP2D>AS3/450mL/refg|Irradiated|Supernat rem/Plasma added	IRWBDRBC
E0361	RED BLOOD CELLS|CP2D>AS3/450mL/refg|ResLeu:<5log6	LRWBDRBC
E0363	RED BLOOD CELLS|CP2D>AS3/450mL/refg|Plasma added	WBDRBC
E0364	RED BLOOD CELLS|CP2D>AS3/450mL/refg|Supernat rem	WBDRBC
E0365	RED BLOOD CELLS|CP2D>AS3/450mL/refg|Supernat rem/Plasma added	WBDRBC
E0366	RED BLOOD CELLS|CP2D>AS3/500mL/refg	WBDRBC
E0370	RED BLOOD CELLS|CP2D>AS3/500mL/refg|Open	WBDRBC
E0371	RED BLOOD CELLS|CP2D>AS3/500mL/refg|Open|Irradiated	IRWBDRBC
E0372	RED BLOOD CELLS|CP2D>AS3/500mL/refg|Open|Irradiated|ResLeu:<5log6	IRLRWBDRBC
E0373	RED BLOOD CELLS|CP2D>AS3/500mL/refg|Open|Irradiated|Supernat rem	IRWBDRBC
E0374	RED BLOOD CELLS|CP2D>AS3/500mL/refg|Open|Irradiated|Supernat rem/Plasma added	IRWBDRBC
E0375	RED BLOOD CELLS|CP2D>AS3/500mL/refg|Open|ResLeu:<5log6	LRWBDRBC
E0376	RED BLOOD CELLS|CP2D>AS3/500mL/refg|Open|Supernat rem	WBDRBC
E0377	RED BLOOD CELLS|CP2D>AS3/500mL/refg|Open|Supernat rem/Plasma added	WBDRBC
E0378	RED BLOOD CELLS|CP2D>AS3/500mL/refg|Irradiated	IRWBDRBC
E0379	RED BLOOD CELLS|CP2D>AS3/500mL/refg|Irradiated|ResLeu:<5log6	IRLRWBDRBC
E0380	RED BLOOD CELLS|CP2D>AS3/500mL/refg|Irradiated|Supernat rem	IRWBDRBC
E0381	RED BLOOD CELLS|CP2D>AS3/500mL/refg|Irradiated|Supernat rem/Plasma added	IRWBDRBC
