code	desc
Null	None
3160	0: 3160~1: P.O
3161	0: 3161~1: I.V
3162	0: 3162~1: S.C
2129401	0: 2129401~1: S.L.
797257	0: 797257~1: INH
2696836	0: 2696836~1: P.Eye
3163	0: 3163~1: I.M
3166	0: 3166~1: SKIN
2617276	0: 2617276~1: I.A
3164	0: 3164~1: P.R
2064419	0: 2064419~1: EPI
3165	0: 3165~1: P.Z
2692666	0: 2692666~1: P.Ear
2633091	0: 2633091~1: I.T
