routecode	routecodeHier	formcode	formcodeHier	Route|FORM
2617276	0: 2617276~1: I.A	Null	None	I.A|AMP
2617276	0: 2617276~1: I.A	50486	0: 50486~1: AMP	I.A|AMP
2617276	0: 2617276~1: I.A	50494	0: 50494~1: INJ	I.A|AMP
2617276	0: 2617276~1: I.A	50506	0: 50506~1: TAB	Unknown
2617276	0: 2617276~1: I.A	50489	0: 50489~1: DRP	I.A|AMP
2617276	0: 2617276~1: I.A	50492	0: 50492~1: GEL	I.A|AMP
2617276	0: 2617276~1: I.A	50487	0: 50487~1: CAP	I.A|AMP
2617276	0: 2617276~1: I.A	50495	0: 50495~1: LIQ	I.A|AMP
2617276	0: 2617276~1: I.A	50488	0: 50488~1: CRM	I.A|AMP
2617276	0: 2617276~1: I.A	69808	0: 69808~1: I.V	Unknown
2633091	0: 2633091~1: I.T	50486	0: 50486~1: AMP	Unknown
2633091	0: 2633091~1: I.T	Null	None	Unknown
2633091	0: 2633091~1: I.T	50506	0: 50506~1: TAB	Unknown
2633091	0: 2633091~1: I.T	50494	0: 50494~1: INJ	Unknown
2633091	0: 2633091~1: I.T	50501	0: 50501~1: SOL	Unknown
2633091	0: 2633091~1: I.T	50487	0: 50487~1: CAP	Unknown
2633091	0: 2633091~1: I.T	50495	0: 50495~1: LIQ	Unknown
2633091	0: 2633091~1: I.T	50491	0: 50491~1: EML	Unknown
2680359	0: 2680359~1: I.P	50486	0: 50486~1: AMP	Unknown
2680359	0: 2680359~1: I.P	Null	None	Unknown
2680359	0: 2680359~1: I.P	50501	0: 50501~1: SOL	I.P|SOL
2680359	0: 2680359~1: I.P	50494	0: 50494~1: INJ	I.P|SOL
2680359	0: 2680359~1: I.P	50487	0: 50487~1: CAP	I.P|SOL
2680359	0: 2680359~1: I.P	69808	0: 69808~1: I.V	I.P|SOL
2680359	0: 2680359~1: I.P	50489	0: 50489~1: DRP	I.P|SOL
2680359	0: 2680359~1: I.P	50506	0: 50506~1: TAB	Unknown
2680359	0: 2680359~1: I.P	50488	0: 50488~1: CRM	I.P|SOL
2680359	0: 2680359~1: I.P	50499	0: 50499~1: POW	I.P|SOL
2680359	0: 2680359~1: I.P	50495	0: 50495~1: LIQ	I.P|SOL
2692666	0: 2692666~1: P.Ear	50489	0: 50489~1: DRP	P.Ear|DRP
2692666	0: 2692666~1: P.Ear	Null	None	P.Ear|DRP
